reference,reader,object,cycle_number,cycle,event_time,pre_roi_fraction,peak_roi_fraction,peak_full_domain_fraction,peak_outside_roi_fraction,recovery_fraction,peak_time_index,recall,precision,mass_ratio,reference_event_time,timing_absolute,support_window,support_measure,teacher_active_target_mass,predicted_active_target_mass,true_positive_target_mass,reference_event_present,false_positive_event,false_negative_target_mass,false_positive_target_mass,whole_trajectory_strict
refined,coarse,shorter/43/E,2,2,1.2215857142857143,0.0,0.09891528925619834,0.029921875,0.0,1.0,617,0.8020547945205478,0.8329332266382145,0.9629280821917809,1.2268000000000001,0.005214285714285838,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009125000000000001,0.0008786718750000002,0.000731875,True,False,0.00018062500000000012,0.00014679687500000023,False
refined,coarse,shorter/43/D_E,1,1,0.23711000000000002,0.0,0.07050619834710743,0.021328125,0.0,1.0,146,0.9452505100884154,0.9197088342340354,1.0277714803899345,0.24143333333333333,0.004323333333333318,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006892187499999996,0.0007083593749999998,0.0006514843749999997,True,False,3.77343749999999e-05,5.687500000000007e-05,False
refined,coarse,shorter/43/D_E,2,2,1.2217,0.0,0.09659090909090909,0.02921875,0.0,1.0,623,0.7965753424657536,0.8468189678711202,0.9406678082191784,1.2268000000000001,0.0051000000000001044,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009125000000000001,0.0008583593750000004,0.0007268750000000002,True,False,0.00018562499999999992,0.0001314843750000002,False
refined,coarse,shorter/43/F,1,1,0.24015714285714285,0.0,0.06947314049586777,0.021015625,0.0,1.0,145,0.93708909544321,0.9494659469392441,0.9869644071639084,0.24143333333333333,0.0012761904761904863,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006892187499999996,0.0006802343749999996,0.0006458593749999995,True,False,4.3359375000000104e-05,3.437500000000012e-05,False
refined,coarse,shorter/43/F,2,2,,0.0,0.0,0.0,0.0,0.0,404,0.0,0.0,0.0,1.2268000000000001,,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009125000000000001,0.0,0.0,True,False,0.0009125000000000001,0.0,False
refined,coarse,shorter/B_E,1,1,0.2558714285714286,0.0,0.05965909090909091,0.018046875,0.0,1.0,135,0.7974382226252553,0.9875070185289163,0.8075266379505783,0.24143333333333333,0.01443809523809525,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006892187499999996,0.0005565624999999999,0.0005496093749999999,True,False,0.00013960937499999976,6.953125000000015e-06,False
refined,coarse,shorter/B_E,2,2,,0.0,0.0,0.0,0.0,0.0,404,0.0,0.0,0.0,1.2268000000000001,,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009125000000000001,0.0,0.0,True,False,0.0009125000000000001,0.0,False
refined,fine,shorter/29/E,1,1,0.23761000000000002,0.0,0.06740702479338843,0.020390625,0.0,1.0,152,0.9247336204942191,0.939753484621587,0.9840172296531404,0.24143333333333333,0.0038233333333333175,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006892187499999996,0.000678203125,0.0006373437499999998,True,False,5.187499999999984e-05,4.0859375000000205e-05,False
refined,fine,shorter/29/E,2,2,1.2248,0.0,0.09607438016528926,0.0290625,0.0,1.0,629,0.7722602739726029,0.8541666666666667,0.9041095890410961,1.2268000000000001,0.0020000000000000018,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009125000000000001,0.0008250000000000002,0.0007046875000000002,True,False,0.00020781249999999988,0.00012031249999999998,False
refined,fine,shorter/29/D_E,1,1,0.2356777777777778,0.0,0.06740702479338843,0.020390625,0.0,1.0,151,0.9247336204942195,0.9308534915563674,0.9934255270913626,0.24143333333333333,0.0057555555555555415,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006892187499999996,0.0006846874999999996,0.00063734375,True,False,5.187499999999962e-05,4.734374999999964e-05,False
refined,fine,shorter/29/D_E,2,2,1.2260166666666668,0.0,0.09581611570247933,0.028984375,0.0,1.0,625,0.7650684931506851,0.8604718343765048,0.8891267123287673,1.2268000000000001,0.0007833333333333581,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009125000000000001,0.0008113281250000002,0.0006981250000000003,True,False,0.00021437499999999983,0.00011320312499999991,False
refined,fine,shorter/29/F,1,1,0.2384,0.0,0.0699896694214876,0.021171875,0.0,1.0,158,0.8919746089322153,0.9256558051993885,0.963613693040127,0.24143333333333333,0.0030333333333333323,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006892187499999996,0.0006641406249999997,0.0006147656249999999,True,False,7.445312499999976e-05,4.937499999999983e-05,False
refined,fine,shorter/29/F,2,2,,0.0,0.0,0.0,0.0,0.0,404,0.0,0.0,0.0,1.2268000000000001,,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009125000000000001,0.0,0.0,True,False,0.0009125000000000001,0.0,False
refined,fine,shorter/43/E,1,1,0.23734444444444447,0.0,0.07076446280991736,0.02140625,0.0,1.0,149,0.9420766266152804,0.9166207124738064,1.0277714803899343,0.24143333333333333,0.004088888888888864,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006892187499999996,0.0007083593749999997,0.0006492968749999999,True,False,3.99218749999997e-05,5.906249999999976e-05,False
refined,fine,shorter/43/E,2,2,1.2215857142857143,0.0,0.09891528925619834,0.029921875,0.0,1.0,617,0.8020547945205478,0.8329332266382145,0.9629280821917809,1.2268000000000001,0.005214285714285838,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009125000000000001,0.0008786718750000002,0.000731875,True,False,0.00018062500000000012,0.00014679687500000023,False
refined,fine,shorter/43/D_E,1,1,0.23711000000000002,0.0,0.07050619834710743,0.021328125,0.0,1.0,146,0.9452505100884154,0.9197088342340354,1.0277714803899345,0.24143333333333333,0.004323333333333318,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006892187499999996,0.0007083593749999998,0.0006514843749999997,True,False,3.77343749999999e-05,5.687500000000007e-05,False
refined,fine,shorter/43/D_E,2,2,1.2217,0.0,0.09659090909090909,0.02921875,0.0,1.0,623,0.7965753424657536,0.8468189678711202,0.9406678082191784,1.2268000000000001,0.0051000000000001044,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009125000000000001,0.0008583593750000004,0.0007268750000000002,True,False,0.00018562499999999992,0.0001314843750000002,False
refined,fine,shorter/43/F,1,1,0.24015714285714285,0.0,0.06947314049586777,0.021015625,0.0,1.0,145,0.93708909544321,0.9494659469392441,0.9869644071639084,0.24143333333333333,0.0012761904761904863,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006892187499999996,0.0006802343749999996,0.0006458593749999995,True,False,4.3359375000000104e-05,3.437500000000012e-05,False
refined,fine,shorter/43/F,2,2,,0.0,0.0,0.0,0.0,0.0,404,0.0,0.0,0.0,1.2268000000000001,,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009125000000000001,0.0,0.0,True,False,0.0009125000000000001,0.0,False
refined,fine,shorter/B_E,1,1,0.2558714285714286,0.0,0.05965909090909091,0.018046875,0.0,1.0,135,0.7974382226252553,0.9875070185289163,0.8075266379505783,0.24143333333333333,0.01443809523809525,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006892187499999996,0.0005565624999999999,0.0005496093749999999,True,False,0.00013960937499999976,6.953125000000015e-06,False
refined,fine,shorter/B_E,2,2,,0.0,0.0,0.0,0.0,0.0,404,0.0,0.0,0.0,1.2268000000000001,,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009125000000000001,0.0,0.0,True,False,0.0009125000000000001,0.0,False
spatial,coarse,shorter/29/E,1,1,0.23761000000000002,0.0,0.06740702479338843,0.020390625,0.0,1.0,152,0.9203114266086558,0.9259301923741499,0.9939317609342804,0.2409,0.0032899999999999874,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006823437499999996,0.000678203125,0.0006279687499999996,True,False,5.437499999999995e-05,5.0234375000000366e-05,False
spatial,coarse,shorter/29/E,2,2,1.2248,0.0,0.09607438016528926,0.0290625,0.0,1.0,629,0.7799167533818943,0.8517045454545455,0.9157127991675341,1.2293,0.0044999999999999485,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009009374999999999,0.0008250000000000002,0.0007026562500000003,True,False,0.00019828124999999967,0.00012234374999999995,False
spatial,coarse,shorter/29/D_E,1,1,0.2356777777777778,0.0,0.06740702479338843,0.020390625,0.0,1.0,151,0.9204259216853676,0.9172752167959836,1.0034348523013512,0.2409,0.0052222222222222114,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006823437499999996,0.0006846874999999996,0.0006280468749999997,True,False,5.4296874999999875e-05,5.664062499999994e-05,False
spatial,coarse,shorter/29/D_E,2,2,1.2260166666666668,0.0,0.09581611570247933,0.028984375,0.0,1.0,625,0.7738466874783212,0.8593163216177176,0.9005376344086025,1.2293,0.003283333333333305,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009009374999999999,0.0008113281250000002,0.0006971875,True,False,0.00020374999999999994,0.0001141406250000002,False
spatial,coarse,shorter/29/F,1,1,0.2384,0.0,0.0699896694214876,0.021171875,0.0,1.0,158,0.8895122509732083,0.9138924832372662,0.9733226471261738,0.2409,0.0025000000000000022,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006823437499999996,0.0006641406249999997,0.0006069531249999997,True,False,7.539062499999983e-05,5.718749999999995e-05,False
spatial,coarse,shorter/29/F,2,2,,0.0,0.0,0.0,0.0,0.0,404,0.0,0.0,0.0,1.2293,,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009009374999999999,0.0,0.0,True,False,0.0009009374999999999,0.0,False
spatial,coarse,shorter/43/E,1,1,0.23734444444444447,0.0,0.07076446280991736,0.02140625,0.0,1.0,149,0.934966796427754,0.9006286533583326,1.0381268605449967,0.2409,0.003555555555555534,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006823437499999996,0.0007083593749999997,0.0006379687499999999,True,False,4.437499999999971e-05,7.039062499999982e-05,False
spatial,coarse,shorter/43/E,2,2,1.2215857142857143,0.0,0.09891528925619834,0.029921875,0.0,1.0,617,0.8061047519944504,0.8265315195163154,0.9752861602497401,1.2293,0.007714285714285785,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009009374999999999,0.0008786718750000002,0.0007262500000000001,True,False,0.00017468749999999982,0.0001524218750000001,False
