reference,reader,seed,comparison,metric,candidate,control,signed_candidate_minus_control,relative_error_reduction
old,fine,43,E_vs_F_cov,local_joule_NRMSE,0.06328570035750694,0.11950976369463504,-0.056224063337128094,0.47045581548289905
old,fine,43,F_cov_vs_E,S,0.0013807031249999998,0.0010735156249999998,0.00030718749999999995,-0.28615093515755774
old,fine,43,F_cov_vs_E,Ephi,0.023776212914431927,0.018619221717954475,0.005156991196477452,-0.276971361885904
old,fine,43,F_cov_vs_E,ET,0.011528183386953762,0.010960980041449084,0.0005672033455046775,-0.051747502810860935
old,fine,43,F_cov_vs_E,EV,0.0032432908946813882,0.0011580398553303196,0.0020852510393510686,-1.8006729472676666
old,fine,43,F_cov_vs_E,EI,0.02084836749767664,0.007261687336759391,0.013586680160917249,-1.8710086968548079
old,fine,43,F_cov_vs_E,bottom_current_NRMSE,0.02084836749767952,0.007261687336763054,0.013586680160916464,-1.8710086968537563
old,fine,43,F_cov_vs_E,power_trace_NRMSE,0.02085794558084627,0.007233155372117967,0.013624790208728303,-1.8836578931027135
old,fine,43,F_cov_vs_E,local_joule_NRMSE,0.11950976369463504,0.06328570035750694,0.056224063337128094,-0.8884165462262883
old,fine,43,F_cov_vs_F,S,0.0013807031249999998,0.001197734375,0.00018296874999999975,-0.15276237688343852
old,fine,43,F_cov_vs_F,Ephi,0.023776212914431927,0.0233632244353989,0.00041298847903302807,-0.0176768613499807
old,fine,43,F_cov_vs_F,ET,0.011528183386953762,0.0114088216040331,0.00011936178292066071,-0.010462235896340655
old,fine,43,F_cov_vs_F,EV,0.0032432908946813882,0.004608750413529318,-0.0013654595188479302,0.2962754318045788
old,fine,43,F_cov_vs_F,EI,0.02084836749767664,0.03005196815083642,-0.009203600653159782,0.30625616954487633
old,fine,43,F_cov_vs_F,bottom_current_NRMSE,0.02084836749767952,0.030051968150835065,-0.009203600653155546,0.3062561695447492
old,fine,43,F_cov_vs_F,power_trace_NRMSE,0.02085794558084627,0.031099994333820886,-0.010242048752974617,0.3293263864629231
old,fine,43,F_cov_vs_F,local_joule_NRMSE,0.11950976369463504,0.1507221633029725,-0.031212399608337466,0.20708566626393365
old,fine,43,F_cov_vs_B_E,S,0.0013807031249999998,0.0015754687500000003,-0.0001947656250000005,0.12362392145194911
old,fine,43,F_cov_vs_B_E,Ephi,0.023776212914431927,0.02552352964250399,-0.0017473167280720632,0.06845905533231111
old,fine,43,F_cov_vs_B_E,ET,0.011528183386953762,0.012800189053165364,-0.001272005666211603,0.0993739749411785
old,fine,43,F_cov_vs_B_E,EV,0.0032432908946813882,0.002829521752748709,0.0004137691419326792,-0.1462328895442233
old,fine,43,F_cov_vs_B_E,EI,0.02084836749767664,0.018834335606125907,0.002014031891550732,-0.10693405563484082
old,fine,43,F_cov_vs_B_E,bottom_current_NRMSE,0.02084836749767952,0.018834335606125185,0.0020140318915543333,-0.10693405563503622
old,fine,43,F_cov_vs_B_E,power_trace_NRMSE,0.02085794558084627,0.019271423256033596,0.0015865223248126732,-0.08232512480965593
old,fine,43,F_cov_vs_B_E,local_joule_NRMSE,0.11950976369463504,0.11209514399081504,0.00741461970382,-0.06614577081436779
old,fine,43,F_cov_vs_D_E,S,0.0013807031249999998,0.0010828125,0.00029789062499999976,-0.27510822510822486
old,fine,43,F_cov_vs_D_E,Ephi,0.023776212914431927,0.0185697479002711,0.005206465014160829,-0.2803734892967944
old,fine,43,F_cov_vs_D_E,ET,0.011528183386953762,0.010868800491784725,0.0006593828951690361,-0.06066749460231935
old,fine,43,F_cov_vs_D_E,EV,0.0032432908946813882,0.001070946524642066,0.002172344370039322,-2.028434025466741
old,fine,43,F_cov_vs_D_E,EI,0.02084836749767664,0.006659981180908426,0.014188386316768213,-2.1303943556838862
old,fine,43,F_cov_vs_D_E,bottom_current_NRMSE,0.02084836749767952,0.006659981180909493,0.014188386316770026,-2.130394355683817
old,fine,43,F_cov_vs_D_E,power_trace_NRMSE,0.02085794558084627,0.006509792322315597,0.014348153258530671,-2.204087710962013
old,fine,43,F_cov_vs_D_E,local_joule_NRMSE,0.11950976369463504,0.06229747382641537,0.05721228986821966,-0.9183725495456689
refined,coarse,29,E_vs_F_cov,S,0.001082265625,0.0014128125000000002,-0.00033054687500000033,0.23396372483963745
refined,coarse,29,E_vs_F_cov,Ephi,0.018985544417578576,0.02352069619702796,-0.004535151779449385,0.19281537168200147
refined,coarse,29,E_vs_F_cov,ET,0.011058679432145979,0.011598791680211693,-0.0005401122480657144,0.04656625129212222
refined,coarse,29,E_vs_F_cov,EV,0.001588242723186819,0.0033416409447053104,-0.0017533982215184915,0.5247117360997977
refined,coarse,29,E_vs_F_cov,EI,0.010094377330916192,0.02175055959372394,-0.011656182262807749,0.5359026379335594
refined,coarse,29,E_vs_F_cov,bottom_current_NRMSE,0.010094377330918839,0.021750559593723476,-0.011656182262804637,0.5359026379334277
