reference,reader,seed,role,S,Ephi,ET,EV,EI,energy_error,electric_fv_rms,current_balance_rms,power_defect_rms,phase_max,power_trace_rms_error,power_trace_NRMSE,input_power_rms_error,input_power_NRMSE,bottom_current_rms_error,bottom_current_NRMSE,local_joule_NRMSE,top_current_rms_error,bottom_native_NRMSE,strict_device_pass
refined,coarse,29,F_cov,0.0014128125000000002,0.02352069619702796,0.011598791680211693,0.0033416409447053104,0.02175055959372394,0.011657076985751904,8.973824235991385e-13,1.3172940145412068e-14,7.049418582516708e-15,0.9768537952648937,0.007965029384136152,0.02183684164405366,0.007965029384136476,0.021836841644054552,0.01145087504217982,0.021750559593723476,0.12320553377678427,0.011450875042180064,0.021750559593723354,False
refined,coarse,43,E,0.0010675781250000002,0.018581117433486314,0.010990276367360127,0.0010965397647056808,0.0069550749659885586,0.0019149882802299975,8.929306187486399e-13,1.3044026962583347e-14,7.206999443520135e-15,0.9859892254479622,0.0025137237164462303,0.006891598773290862,0.002513723716445716,0.006891598773289452,0.003661592889201775,0.0069550749659893695,0.04783553686306185,0.0036615928892013484,0.006955074965991453,False
refined,coarse,43,F,0.0011950781250000004,0.02333617624104989,0.011446278806350622,0.004595274780679757,0.02999654983492931,0.002861685461407761,8.924270071185551e-13,1.383357969597304e-14,7.557815164497669e-15,0.9855771620765069,0.011320347726120537,0.03103574748176868,0.01132034772612014,0.03103574748176759,0.01579208766451356,0.029996549834930386,0.14397305760965676,0.015792087664512993,0.029996549834930726,False
refined,coarse,43,F_cov,0.0013727343749999998,0.023664831247446002,0.011574894068166409,0.0032900313755505847,0.021166436291868818,0.012531700501430033,8.978679258205163e-13,1.4156398289271943e-14,7.76391347568942e-15,0.9829737353387408,0.007726121729172379,0.021181854904219814,0.0077261217291720195,0.021181854904218828,0.011143355462744229,0.021166436291869917,0.11644453400900691,0.011143355462743651,0.021166436291869505,False
refined,fine,29,E,0.001082265625,0.018985544417578576,0.011058679432145979,0.0016766039644284742,0.01062486409330813,0.00447791813487665,2.0121083797279514e-12,1.870408360077339e-14,9.975242793306198e-15,0.9834933172111099,0.003921551360807147,0.01075128438766661,0.003921551360807758,0.010751284387668286,0.005593602801267369,0.0106248640933055,0.07081203162264514,0.005593602801268753,0.010624864093307566,False
refined,fine,29,F,0.0012585937500000002,0.023830201907113074,0.011745700496220432,0.003799421802304657,0.02326614683704054,0.008658437590977968,2.0089789416507846e-12,2.052995769960959e-14,1.1383003143829579e-14,0.9790781496920653,0.008739868935113726,0.02396113369097898,0.008739868935112848,0.023961133690976577,0.012248776358878473,0.0232661468370422,0.11906426984882493,0.012248776358877599,0.023266146837043332,False
refined,fine,29,F_cov,0.0014128125000000002,0.02352069619702796,0.011598791680211693,0.00325859045289442,0.021171713225977197,0.010326746198515094,2.023446467069631e-12,2.1720839441144777e-14,1.182808508174397e-14,0.9768537952648937,0.007750436398473403,0.021248515748461205,0.007750436398472421,0.021248515748458513,0.011146133575778233,0.021171713225980333,0.12389964516923056,0.011146133575776582,0.021171713225980285,False
refined,fine,43,E,0.0010675781250000002,0.018581117433486314,0.010990276367360127,0.0011786904323377728,0.007430369163148216,0.0031819880424385407,2.0141165529364224e-12,2.1290282137972233e-14,1.1903146054016124e-14,0.9859892254479622,0.002710275280885924,0.007430462496268339,0.002710275280884873,0.007430462496265457,0.003911817920724735,0.007430369163151914,0.06349392344131341,0.0039118179207227885,0.007430369163154091,False
refined,fine,43,F,0.0011950781250000004,0.02333617624104989,0.011446278806350622,0.004620058526540493,0.030141146397592092,0.004136879546476125,2.012579476148033e-12,2.0085347482663448e-14,1.1187742528537168e-14,0.9855771620765069,0.01137982782590142,0.03119881750414356,0.011379827825901707,0.031198817504144345,0.01586821247240264,0.03014114639759072,0.15106087899875156,0.015868212472403363,0.03014114639759111,False
refined,fine,43,F_cov,0.0013727343749999998,0.023664831247446002,0.011574894068166409,0.0032059236794293546,0.020581692366828875,0.01125305353985466,2.0255378813830324e-12,2.0464812071001385e-14,1.1289285142584464e-14,0.9829737353387408,0.007510254467009672,0.02059003546544022,0.007510254467008958,0.02059003546543826,0.010835509147874333,0.020581692366831748,0.11890269484395054,0.010835509147872822,0.020581692366831404,False
