protocol,seed,role,cycle,reference_mass_primary,reference_mass_indicator_restriction,overlap_primary,overlap_indicator_restriction,predicted_mass,recall_primary,recall_indicator_restriction,precision_indicator_restriction,mass_ratio_indicator_restriction
shorter,29,E_R,1,0.0006823437500000001,0.0006856249999999999,0.00060578125,0.0006032031249999999,0.0006451562499999998,0.8877948248225325,0.8797857793983591,0.9349721482199082,0.9409753874202368
shorter,29,E_R,2,0.0009009375000000005,0.0009002777777777777,0.0008701562500000006,0.0008625694444444448,0.0009669531250000003,0.9658342004856054,0.9581147793890779,0.8920488720117065,1.0740608608454185
shorter,29,E_I,1,0.0006823437500000001,0.0006856249999999999,0.0005932031250000001,0.0005896961805555553,0.0006191406249999999,0.8693611174719487,0.8600855869543196,0.9524430424114965,0.9030309936189608
shorter,29,E_I,2,0.0009009375000000005,0.0009002777777777777,0.0008678125000000004,0.0008610850694444449,0.0009650781250000005,0.9632327436697884,0.9564659827213828,0.8922438993676749,1.0719781703178037
shorter,43,E_C,1,0.0006823437500000001,0.0006856249999999999,0.000610390625,0.0006091232638888888,0.000657421875,0.8945500343485229,0.8884204395827002,0.9265333069254635,0.9588650865998178
shorter,43,E_C,2,0.0009009375000000005,0.0009002777777777777,0.0008657031250000003,0.000858055555555556,0.0009513281250000007,0.960891432535553,0.9531008947855606,0.9019554168605658,1.0567051064486277
shorter,43,E_R,1,0.0006823437500000001,0.0006856249999999999,0.0006079687500000001,0.0006065798611111112,0.000651328125,0.8910006869704603,0.8847108275093692,0.9312968960324126,0.9499772105742936
shorter,43,E_R,2,0.0009009375000000005,0.0009002777777777777,0.0008641406250000002,0.0008565364583333339,0.0009486718750000004,0.9591571279916751,0.9514135297747616,0.9028795739657968,1.053754628201173
shorter,43,E_I,1,0.0006823437500000001,0.0006856249999999999,0.0006124218750000001,0.0006108767361111111,0.000659453125,0.8975269063430272,0.8909779195786489,0.9263383748634311,0.9618277119416592
shorter,43,E_I,2,0.0009009375000000005,0.0009002777777777777,0.0008669531250000003,0.0008598524305555561,0.0009583593750000003,0.9622788761706554,0.9550968065411917,0.8972129380542198,1.0645151959271835
