reference,protocol,seed,role,cycle,event_time,reference_event_time,timing,recall,precision,mass_ratio,recovery,peak_roi,peak_full,peak_outside,reference_mass,predicted_mass,overlap_mass
refined,shorter,43,E,1,0.23711000000000002,0.24143333333333333,0.004323333333333318,0.8791657220584905,0.9452772699573435,0.930061210609839,1.0,0.0699896694214876,0.021171875,0.0,0.0006892187499999996,0.0006410156249999997,0.0006059374999999999
refined,shorter,43,E,2,1.22236,1.2268000000000001,0.0044400000000002215,0.9654965753424657,0.8944321065989849,1.0794520547945203,1.0,0.07902892561983471,0.02390625,0.0,0.0009125000000000001,0.000985,0.0008810156250000001
refined,shorter,43,F,1,0.21036666666666667,0.24143333333333333,0.03106666666666666,0.8755384266606212,0.8029106029106027,1.0904556789843576,1.0,0.06327479338842976,0.019140625,0.0,0.0006892187499999996,0.0007515624999999998,0.0006034374999999997
refined,shorter,43,F,2,1.24922,1.2268000000000001,0.022419999999999884,0.8143835616438359,0.9521521521521521,0.8553082191780824,1.0,0.07773760330578512,0.023515625,0.0,0.0009125000000000001,0.0007804687500000003,0.0007431250000000003
refined,shorter,-,B_E,1,0.2558714285714286,0.24143333333333333,0.01443809523809525,0.7974382226252553,0.9875070185289163,0.8075266379505783,1.0,0.05965909090909091,0.018046875,0.0,0.0006892187499999996,0.0005565624999999999,0.0005496093749999999
refined,shorter,-,B_E,2,1.2481,1.2268000000000001,0.021299999999999875,0.7755136986301372,0.9956034293251265,0.7789383561643838,1.0,0.06430785123966942,0.019453125,0.0,0.0009125000000000001,0.0007107812500000003,0.0007076562500000003
refined,shorter,29,E_C,1,0.23622,0.24143333333333333,0.00521333333333332,0.8856268419859443,0.9528048780487807,0.9294944457039219,1.0,0.06740702479338843,0.020390625,0.0,0.0006892187499999996,0.0006406249999999996,0.0006103906249999997
refined,shorter,29,E_C,2,1.2252750000000001,1.2268000000000001,0.0015249999999999986,0.96875,0.9123528463151104,1.0618150684931509,1.0,0.07722107438016529,0.023359375,0.0,0.0009125000000000001,0.0009689062500000003,0.0008839843750000001
refined,shorter,29,E_R,1,0.23518333333333336,0.24143333333333333,0.006249999999999978,0.8890274314214467,0.9497457011382905,0.9360689186125596,1.0,0.0684400826446281,0.020703125,0.0,0.0006892187499999996,0.0006451562499999997,0.0006127343749999999
refined,shorter,29,E_R,2,1.226525,1.2268000000000001,0.0002750000000000252,0.9662671232876711,0.9118526298779994,1.0596746575342464,1.0,0.07799586776859505,0.02359375,0.0,0.0009125000000000001,0.000966953125,0.0008817187499999999
refined,shorter,29,E_I,1,0.239025,0.24143333333333333,0.0024083333333333456,0.8672636590342325,0.9654258675078862,0.8983223758784858,1.0,0.0668904958677686,0.020234375,0.0,0.0006892187499999996,0.0006191406249999998,0.0005977343749999996
refined,shorter,29,E_I,2,1.2252750000000001,1.2268000000000001,0.0015249999999999986,0.9642979452054792,0.9117623249413093,1.057619863013699,1.0,0.07722107438016529,0.023359375,0.0,0.0009125000000000001,0.0009650781250000004,0.0008799218749999998
refined,shorter,43,E_C,1,0.23672,0.24143333333333333,0.004713333333333319,0.8993425527091363,0.942840166369578,0.9538653366583544,1.0,0.07024793388429752,0.02125,0.0,0.0006892187499999996,0.0006574218749999998,0.0006198437499999997
refined,shorter,43,E_C,2,1.2260166666666668,1.2268000000000001,0.0007833333333333581,0.9618150684931507,0.9225589225589222,1.042551369863014,1.0,0.07773760330578512,0.023515625,0.0,0.0009125000000000001,0.0009513281250000004,0.0008776562500000001
refined,shorter,43,E_R,1,0.2373,0.24143333333333333,0.004133333333333322,0.8957152573112677,0.9478229578985248,0.9450238041260489,1.0,0.07076446280991736,0.02140625,0.0,0.0006892187499999996,0.0006513281249999999,0.0006173437499999999
refined,shorter,43,E_R,2,1.2260166666666668,1.2268000000000001,0.0007833333333333581,0.959931506849315,0.9233303137610146,1.0396404109589041,1.0,0.07825413223140495,0.023671875,0.0,0.0009125000000000001,0.0009486718750000001,0.0008759375000000001
