step,time,residual_inf,residual_rate_inf,iterations,linear_solves,residual_evaluations,jacobian_evaluations,decrease_rejections,phase_min,phase_max
40,1.385,3.085772678774589e-11,4.9372362860393426e-08,2,2,5,3,0,7.455883300599052e-08,0.9688116525568233
41,1.385625,2.8448496718611917e-11,4.551759474977907e-08,2,2,5,3,0,7.420014026115272e-08,0.9687061456668906
42,1.3862500000000002,2.622269807165626e-11,4.1956316914650016e-08,2,2,5,3,0,7.384309175586068e-08,0.9685982557444573
43,1.386875,2.416674960191781e-11,3.8666799363068494e-08,2,2,5,3,0,7.348768052727877e-08,0.9684880286408638
44,1.3875000000000002,2.2268071311589213e-11,3.562891409854274e-08,2,2,5,3,0,7.313389964081211e-08,0.968375508974018
45,1.388125,2.0514928921215245e-11,3.282388627394439e-08,2,2,5,3,0,7.278174218943532e-08,0.9682607401559941
46,1.3887500000000002,1.889644641933294e-11,3.0234314270932705e-08,2,2,5,3,0,7.243120129304754e-08,0.9681437644204347
47,1.389375,1.7402531821727844e-11,2.784405091476455e-08,2,2,5,3,0,7.208227009785536e-08,0.9680246228497401
48,1.3900000000000001,1.6023816469664873e-11,2.5638106351463796e-08,2,2,5,3,0,7.17349417757826e-08,0.9679033554020128
49,1.390625,1.4751615632691874e-11,2.3602585012306998e-08,2,2,5,3,0,7.138920952390572e-08,0.9677800009377391
50,1.39125,1.357787588417668e-11,2.1724601414682687e-08,2,2,5,3,0,7.104506656391754e-08,0.9676545972461884
