reference,reader,protocol,seed,comparison,metric,candidate_error,control_error,signed_candidate_minus_control,difference_percentage_points,relative_error_reduction
old,coarse,shorter,29,E_vs_B_E,local_joule_NRMSE,0.056357927738193946,0.1133849836004611,-0.05702705586226716,,0.5029506911004682
old,coarse,shorter,29,E_vs_D_E,S,0.0010861718750000001,0.0010574999999999998,2.867187500000027e-05,,-0.02711288416075676
old,coarse,shorter,29,E_vs_D_E,Ephi,0.01900241378176963,0.018570546502962307,0.0004318672788073234,,-0.023255496478708018
old,coarse,shorter,29,E_vs_D_E,ET,0.011021722601211524,0.010904924970924842,0.0001167976302866823,0.01167976302866823,-0.010710539558785863
old,coarse,shorter,29,E_vs_D_E,EV,0.001568101323932456,0.0014612692374090363,0.00010683208652341979,,-0.07310910528222905
old,coarse,shorter,29,E_vs_D_E,EI,0.009942974635239722,0.009314881011217182,0.0006280936240225399,0.06280936240225399,-0.06742905499986268
old,coarse,shorter,29,E_vs_D_E,bottom_current_NRMSE,0.009942974635242439,0.009314881011217219,0.0006280936240252201,0.06280936240252201,-0.06742905500015015
old,coarse,shorter,29,E_vs_D_E,power_trace_NRMSE,0.00999332058970384,0.009350194548018671,0.0006431260416851683,0.06431260416851683,-0.06878210270196444
old,coarse,shorter,29,E_vs_D_E,energy_error,0.00287606086266471,0.003045758192766017,-0.0001696973301013073,-0.01696973301013073,0.0557159562122678
old,coarse,shorter,29,E_vs_D_E,local_joule_NRMSE,0.056357927738193946,0.053819461639502186,0.0025384660986917593,,-0.0471663227643397
old,coarse,shorter,29,D_E_vs_E,S,0.0010574999999999998,0.0010861718750000001,-2.867187500000027e-05,,0.026397180464648163
old,coarse,shorter,29,D_E_vs_E,Ephi,0.018570546502962307,0.01900241378176963,-0.0004318672788073234,,0.022726969519085226
old,coarse,shorter,29,D_E_vs_E,ET,0.010904924970924842,0.011021722601211524,-0.0001167976302866823,-0.01167976302866823,0.010597039547506279
old,coarse,shorter,29,D_E_vs_E,EV,0.0014612692374090363,0.001568101323932456,-0.00010683208652341979,,0.06812830580074265
old,coarse,shorter,29,D_E_vs_E,EI,0.009314881011217182,0.009942974635239722,-0.0006280936240225399,-0.06280936240225399,0.06316958928935222
