step,time,residual_inf,residual_rate_inf,iterations,linear_solves,residual_evaluations,jacobian_evaluations,decrease_rejections,phase_min,phase_max
34,1.3706250000000002,1.284688897146627e-11,4.111004470869206e-08,2,2,5,3,0,8.327135850535188e-08,0.9704748431960092
35,1.3709375000000001,1.210599746533439e-11,3.8739191889070046e-08,2,2,5,3,0,8.3071667999664e-08,0.9704584355329445
36,1.37125,1.1408772526960015e-11,3.650807208627205e-08,2,2,5,3,0,8.287243300310919e-08,0.9704410522327027
37,1.3715625,1.0752527937040596e-11,3.4408089398529906e-08,2,2,5,3,0,8.267365252503729e-08,0.9704227037614216
38,1.3718750000000002,1.0134774801068974e-11,3.243127936342072e-08,2,2,5,3,0,8.24753255780496e-08,0.9704034004683053
39,1.3721875000000001,9.553133241066436e-12,3.0570026371412595e-08,2,2,5,3,0,8.227745117796088e-08,0.9703831525862527
40,1.3725,9.117120774971513e-12,2.9174786479908843e-08,2,2,5,3,0,8.208002834376266e-08,0.9703619702325015
41,1.3728125,8.780773823975282e-12,2.8098476236720904e-08,2,2,5,3,0,8.188305609758508e-08,0.9703398634092877
42,1.3731250000000002,8.455823450562606e-12,2.705863504180034e-08,2,2,5,3,0,8.168653346466047e-08,0.9703168420045197
43,1.3734375,8.141962330851429e-12,2.6054279458724572e-08,2,2,5,3,0,8.149045947328622e-08,0.9702929157924652
44,1.37375,7.838877557318508e-12,2.5084408183419227e-08,2,2,5,3,0,8.129483315478792e-08,0.9702680944344522
45,1.3740625000000002,7.546261697661573e-12,2.4148037432517033e-08,2,2,5,3,0,8.109965354348414e-08,0.9702423874795815
46,1.3743750000000001,7.263820709475181e-12,2.3244226270320578e-08,2,2,5,3,0,8.090491967664895e-08,0.9702158043654527
47,1.3746875,6.991243589366154e-12,2.2371979485971694e-08,2,2,5,3,0,8.071063059447669e-08,0.9701883544189008
48,1.375,6.728246378009256e-12,2.153038840962962e-08,2,2,5,3,0,8.051678534004698e-08,0.9701600468567428
49,1.3753125000000002,6.474535012670254e-12,2.0718512040544812e-08,2,2,5,3,0,8.032338295928819e-08,0.970130890786537
50,1.375625,6.229816209885226e-12,1.9935411871632724e-08,2,2,5,3,0,8.01304225009432e-08,0.97010089520735
