pool,state,time,weight,original_time_mass,phase_raw,thermal_raw,phase_BC,H,gate,psi_min,psi_max,delta_psi_min,delta_psi_max,phi_t_abs_max,phase_grad_abs_max,phase_laplacian_abs_max,rphi_abs_max,rT_abs_max,bc_normal_abs_max,bc_left,bc_right,bc_bottom,bc_top,phase_hot_cell,phase_hot_x,phase_hot_z,thermal_hot_cell,thermal_hot_x,thermal_hot_z,bc_hot_x,bc_hot_z
common-256,B0,1.8187947840776781,0.0038946553517354384,0.0010281890128581556,0.007059865031169329,0.0034856510348526167,0.026811276963534768,0.13422313408131553,0.6091012364511792,-18.362204009857003,1.7003577427057364,0.0,0.0,2.4004410083072187,9.585271897449557,263.85121946530074,0.6486390751650193,0.195399562685349,2.002275543210288,8.081090103017821e-16,9.69760459936374e-16,0.34854660052594866,1.5687594965719018e-15,108,-0.2875,0.037500000000000006,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,N-Adam,1.8187947840776781,0.0038946553517354384,0.0010281890128581556,0.02202676719593319,0.003626065787688626,0.02331392331794876,0.11693884985626643,0.6091012364511792,-18.17384099180704,2.0587801224331885,-0.5361993881737916,0.3719899624549594,2.9034613647144845,9.820162994394414,231.93521688601993,1.1168743850032163,0.22055058050571227,2.0337352292609054,8.197553948686095e-16,1.8006364705443596e-15,0.3030810031333311,2.3153491197308114e-16,50,0.2625000000000002,0.0125,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,N-final,1.8187947840776781,0.0038946553517354384,0.0010281890128581556,7.344803973943233e-108,0.0029015928454501124,1.5261226774871595e-111,6.0449850946877344e-05,0.6091012364511792,-453.5813379495328,-128.0849918291503,-436.0047887320817,-110.3459317498752,2.1808442142779412e-53,4.401764561421975e-55,8.650873421399117e-54,2.203257753439895e-53,0.15766510542632112,2.8880424179791007e-55,1.794542645034258e-110,5.471152452855598e-173,1.6481479817707702e-155,1.8941683569904912e-111,2403,-0.9125,0.7625000000000001,1878,-0.03749999999999998,0.5875,-1.0,0.7587374854142471
common-256,S-final,1.8187947840776781,0.0038946553517354384,0.0010281890128581556,0.005580115359390662,0.0031115351270224363,0.01902544845304708,0.09526646745184024,0.6091012364511792,-18.36220400625182,7.689831753002876,-1.0247805081845112,5.9894740102971396,1.8657216128719964,6.38821617677015,1073.689300967989,0.6820865727004597,0.16866359291358787,2.0533916631220825,8.081088837175264e-16,9.697604011241823e-16,0.2473308298896087,1.568759989537554e-15,50,0.2625000000000002,0.0125,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,B0,1.8216313024591955,0.004674874650518024,0.001234166907736758,0.007618896489516854,0.0034303979579946887,0.026161399197349364,0.13098004789739862,0.5945953876653312,-18.368933050992755,1.668124701455021,0.0,0.0,2.4274517734794854,9.602147996621902,266.4454592951687,0.6764604234486109,0.19442218601414632,1.9584532798310494,7.900773835574851e-16,9.578451371474966e-16,0.34009818956553844,1.5509388041252962e-15,108,-0.2875,0.037500000000000006,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,N-Adam,1.8216313024591955,0.004674874650518024,0.001234166907736758,0.023338533454872513,0.003576810190180556,0.022799367680923353,0.11438253572964384,0.5945953876653312,-18.17829973371702,2.017407599873441,-0.5237399759586445,0.3625569837987781,2.9551371225365277,9.63865743414345,232.402850816957,1.1465806403445105,0.22080645346699848,1.9968487134628883,7.985008239201779e-16,1.7474929240996839e-15,0.2963917798520008,2.4164899401587346e-16,50,0.2625000000000002,0.0125,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,N-final,1.8216313024591955,0.004674874650518024,0.001234166907736758,1.4358440884481637e-105,0.0028372790169260273,2.6773980064783798e-109,5.9109979519292235e-05,0.5945953876653312,-443.2119254946545,-125.45917292254612,-425.621993795326,-107.71056819256964,3.029925054264808e-52,5.938642679430861e-54,1.2065166691657069e-52,3.0609085373520148e-52,0.15230840749028857,3.825058820378424e-54,3.1361284505342702e-108,3.0001996272335536e-169,8.506262280249548e-152,3.4448895788762363e-109,2403,-0.9125,0.7625000000000001,1878,-0.03749999999999998,0.5875,-1.0,0.7587374854142471
common-256,S-final,1.8216313024591955,0.004674874650518024,0.001234166907736758,0.007552889905259026,0.0030815699992151426,0.019745199012588564,0.09889089963666325,0.5945953876653312,-18.368933047486717,7.439376228029661,-0.9756366052433183,5.77125152657464,2.114363808602926,6.98413443669801,1133.5242862778955,0.8456776323121564,0.17876778777031835,2.183161055767182,7.90077274232056e-16,9.578450794750662e-16,0.25668758716364803,1.5509392620065506e-15,50,0.2625000000000002,0.0125,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,B0,1.8249284039608198,0.005286141231093832,0.0013955412850087715,0.00830313356024344,0.00338045075278787,0.02545674169929572,0.12746484300129826,0.5776392706066298,-18.376660226654646,1.6304455879247373,0.0,0.0,2.457699397929305,9.617402650508783,269.31865300137207,0.7095002829665045,0.19356585838486012,1.9073729942094164,7.696922581731567e-16,9.442860007126117e-16,0.3309376420908411,1.5305390925261342e-15,108,-0.2875,0.037500000000000006,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,N-Adam,1.8249284039608198,0.005286141231093832,0.0013955412850087715,0.02491213883583378,0.003533840551033687,0.022237444991705525,0.1115930084878186,0.5776392706066298,-18.192079839836317,1.9690858690934425,-0.5091539522169661,0.3515692491707716,3.0130387792852025,9.42671757054859,237.1791494050354,1.1798472844774495,0.22133282745265503,1.9527850384564156,7.74688382686732e-16,1.6880235701553116e-15,0.2890867848921691,2.5385942475259286e-16,50,0.2625000000000002,0.0125,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,N-final,1.8249284039608198,0.005286141231093832,0.0013955412850087715,6.825204948745356e-103,0.002776708890027713,1.122966664635849e-106,5.7848101875577357e-05,0.5776392706066298,-431.0908181102502,-122.39022115718839,-413.4852949252246,-104.63059637391396,6.554900712607469e-51,1.2420947631850019e-52,2.6194973328860982e-51,6.621613740482499e-51,0.14902255633996037,7.82746275567003e-53,1.3090011700380001e-105,7.045255274222654e-165,1.8625563761364695e-147,1.5085549398860374e-106,2403,-0.9125,0.7625000000000001,2071,0.7875000000000001,0.6375000000000001,-1.0,0.7587374854142471
common-256,S-final,1.8249284039608198,0.005286141231093832,0.0013955412850087715,0.010886932640372132,0.0030691688245294488,0.020162537313781734,0.101021786687958,0.5776392706066298,-18.37666022326017,7.148360345975565,-0.9201051806698777,5.517914758050828,2.4351468286144486,7.7282290017436495,1201.4257794390537,1.063721290729455,0.1924382299191173,2.267919754192506,7.696921664385757e-16,9.442859444829588e-16,0.26211298507915926,1.5305395123413848e-15,50,0.2625000000000002,0.0125,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,B0,1.8285669267651778,0.005706356720153863,0.0015064781741206197,0.009101472449790295,0.00334157205410844,0.024743230834513776,0.12390712322302666,0.5588331605450615,-18.38507019499457,1.5886042027685194,0.0,0.0,2.4895519712539986,9.628600664498583,272.29185861941494,0.7467934428660761,0.19286162871206233,1.8509158210808996,7.478897978029121e-16,9.296751731110606e-16,0.3216620008486759,1.5084143938370064e-15,108,-0.2875,0.037500000000000006,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,N-Adam,1.8285669267651778,0.005706356720153863,0.0015064781741206197,0.02670664268880758,0.0035025264130482715,0.021665907519782812,0.10875859546837,0.5588331605450615,-18.207157789669857,1.915490606147848,-0.4929496129965223,0.33943009666419766,3.073942856112757,9.192041982078994,242.3145486169279,1.2148051291711308,0.22208117295500027,1.9028159721812272,7.494815095582279e-16,1.6251857710025675e-15,0.2816567977571739,2.6790078656114087e-16,50,0.2625000000000002,0.0125,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,N-final,1.8285669267651778,0.005706356720153863,0.0015064781741206197,6.336438787938895e-100,0.002726334432197253,9.087415126606318e-104,5.679863400410944e-05,0.5588331605450615,-417.6470870534167,-118.98694457213875,-400.0243225147294,-101.21525140612637,1.9792242001104555e-49,3.614650859108583e-51,7.932098410277141e-50,1.999290914648203e-49,0.1505237893433766,2.2226638339159422e-51,1.0531358733216802e-102,4.961470618995218e-160,1.21481589941695e-142,1.2822809313714109e-103,2403,-0.9125,0.7625000000000001,2071,0.7875000000000001,0.6375000000000001,-1.0,0.7587374854142471
common-256,S-final,1.8285669267651778,0.005706356720153863,0.0015064781741206197,0.01630199351383586,0.003083931816180095,0.01999556437394174,0.10025943036273025,0.5588331605450615,-18.38507019171933,6.828193169099247,-0.8608514709549482,5.239588966330728,2.829200521943355,8.608446863264994,1272.0583701247288,1.340915101681575,0.20984405624653021,2.2618223000600004,7.47889722717341e-16,9.296751186041539e-16,0.25994233686123946,1.5084147748324723e-15,50,0.2625000000000002,0.0125,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,B0,1.8324153669845988,0.005920331576720893,0.0015629675362543159,0.009995344195758791,0.0033163851611594875,0.024062463391100464,0.12051467956896993,0.5388652563137135,-18.393832045047972,1.5440566983142823,0.0,0.0,2.521382569231532,9.633780419017844,275.18548261141433,0.7871247963961054,0.19221924415526473,1.791215741549108,7.255932714956614e-16,9.146108468266046e-16,0.31281202408430286,1.4854491238430478e-15,108,-0.2875,0.037500000000000006,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
