intent,configuration,time,roi_phase_fraction,roi_temperature_max
4,Medium,1.405,0.768595041322,0.720384916456
4,Medium,1.41,0.785123966942,0.709179749472
4,Medium,1.415,0.799586776859,0.698106216588
4,Medium,1.42,0.807851239669,0.687204406923
4,Medium,1.425,0.820247933884,0.676509675293
4,Medium,1.43,0.826446280992,0.666051995265
4,Medium,1.435,0.845041322314,0.655855617308
4,Medium,1.44,0.847107438017,0.64593900834
4,Medium,1.445,0.855371900826,0.636884620375
4,Medium,1.45,0.859504132231,0.629422328532
4,Medium,1.455,0.867768595041,0.622106694155
4,Medium,1.46,0.873966942149,0.614931156761
4,Medium,1.465,0.876033057851,0.607889916945
4,Medium,1.47,0.878099173554,0.60097780355
4,Medium,1.475,0.878099173554,0.59419016376
4,Medium,1.48,0.880165289256,0.587597263014
4,Medium,1.485,0.882231404959,0.581129167146
4,Medium,1.49,0.886363636364,0.574768820784
4,Medium,1.495,0.888429752066,0.568513353679
4,Medium,1.5,0.890495867769,0.56236003766
4,Medium,1.505,0.890495867769,0.556306263427
4,Medium,1.51,0.892561983471,0.550349521992
4,Medium,1.515,0.892561983471,0.54448738997
4,Medium,1.52,0.892561983471,0.538749080605
4,Medium,1.525,0.892561983471,0.533143806294
4,Medium,1.53,0.892561983471,0.527623883049
4,Medium,1.535,0.892561983471,0.522187171935
4,Medium,1.54,0.892561983471,0.516831580054
4,Medium,1.545,0.892561983471,0.511555059659
4,Medium,1.55,0.892561983471,0.506355607828
4,Medium,1.555,0.892561983471,0.50123126652
4,Medium,1.56,0.892561983471,0.496180122874
4,Medium,1.565,0.892561983471,0.491201464075
4,Medium,1.57,0.892561983471,0.486350192308
4,Medium,1.575,0.892561983471,0.481564623232
4,Medium,1.58,0.892561983471,0.476843161063
4,Medium,1.585,0.892561983471,0.47223597854
4,Medium,1.59,0.892561983471,0.467711894221
4,Medium,1.595,0.892561983471,0.463244226829
4,Medium,1.6,0.892561983471,0.458831621312
4,Medium,1.605,0.892561983471,0.454472766227
4,Medium,1.61,0.890495867769,0.450166393157
4,Medium,1.615,0.890495867769,0.445912515589
4,Medium,1.62,0.890495867769,0.441777124265
4,Medium,1.625,0.890495867769,0.437687430292
4,Medium,1.63,0.890495867769,0.433642441044
4,Medium,1.635,0.888429752066,0.429641202193
4,Medium,1.64,0.888429752066,0.42568861438
4,Medium,1.645,0.884297520661,0.421834184235
4,Medium,1.65,0.884297520661,0.418017824095
4,Medium,1.655,0.884297520661,0.414238842472
4,Medium,1.66,0.882231404959,0.410548944408
4,Medium,1.665,0.880165289256,0.406895539797
4,Medium,1.67,0.878099173554,0.403330135597
4,Medium,1.675,0.878099173554,0.399795622191
4,Medium,1.68,0.878099173554,0.39629714425
4,Medium,1.685,0.876033057851,0.392867965933
4,Medium,1.69,0.876033057851,0.389466268291
4,Medium,1.695,0.869834710744,0.386123433027
4,Medium,1.7,0.867768595041,0.382816062599
4,Medium,1.705,0.859504132231,0.379554193991
4,Medium,1.71,0.859504132231,0.376325183212
4,Medium,1.715,0.857438016529,0.37311909925
4,Medium,1.72,0.857438016529,0.369935906171
4,Medium,1.725,0.857438016529,0.366811263539
4,Medium,1.73,0.857438016529,0.363724205749
4,Medium,1.735,0.857438016529,0.360658663767
4,Medium,1.74,0.857438016529,0.357614629337
4,Medium,1.745,0.857438016529,0.354592088639
4,Medium,1.75,0.855371900826,0.351591022688
4,Medium,1.755,0.855371900826,0.3486114077
4,Medium,1.76,0.855371900826,0.345653215457
4,Medium,1.765,0.855371900826,0.342736380849
4,Medium,1.77,0.855371900826,0.339865209203
4,Medium,1.775,0.855371900826,0.337014310203
4,Medium,1.78,0.855371900826,0.334183668762
4,Medium,1.785,0.855371900826,0.331373265143
4,Medium,1.79,0.855371900826,0.328583075281
4,Medium,1.795,0.855371900826,0.325813071081
4,Medium,1.8,0.855371900826,0.323063220703
4,Medium,1.805,0.855371900826,0.320353215799
4,Medium,1.81,0.853305785124,0.317681870772
4,Medium,1.815,0.853305785124,0.31502968759
4,Medium,1.82,0.851239669421,0.31239664141
4,Medium,1.825,0.851239669421,0.309782703751
4,Medium,1.83,0.849173553719,0.307187842723
4,Medium,1.835,0.849173553719,0.304612023232
4,Medium,1.84,0.842975206612,0.302055207181
4,Medium,1.845,0.842975206612,0.299535265572
4,Medium,1.85,0.842975206612,0.297049019036
4,Medium,1.855,0.842975206612,0.294580914514
4,Medium,1.86,0.840909090909,0.292130917862
4,Medium,1.865,0.840909090909,0.289698992109
4,Medium,1.87,0.838842975207,0.287285097611
4,Medium,1.875,0.836776859504,0.28488919219
