Reference,Object,Cycle,Onset,Ref onset,Recall,Precision,Mass,Timing,Recovery,FN mass,FP mass
old,shorter/43/E,1,0.23711000000000002,0.24059999999999998,0.8755069851284363,0.9471054235222427,0.9244028841820638,0.0034899999999999654,1.0,8.632812499999992e-05,3.3906249999999865e-05
old,shorter/43/E,2,1.22236,1.2268000000000001,0.9649512737220038,0.8953045685279188,1.0777910753975037,0.0044400000000002215,1.0,3.203124999999994e-05,0.00010312499999999992
old,shorter/43/F,1,0.21036666666666667,0.24059999999999998,0.8737043713384407,0.806133056133056,1.0838215412347907,0.030233333333333307,1.0,8.757812499999998e-05,0.0001457031250000001
old,shorter/43/F,2,1.24922,1.2268000000000001,0.8137288425371861,0.9528528528528528,0.8539921354077624,0.022419999999999884,1.0,0.0001702343749999997,3.6796875000000046e-05
old,shorter/B_E,1,0.2558714285714286,0.24059999999999998,0.7929247408742678,0.9879281302638967,0.8026137899954936,0.015271428571428602,1.0,0.00014359374999999984,6.718749999999997e-06
old,shorter/B_E,2,1.2481,1.2268000000000001,0.7743203966490001,0.9956034293251265,0.7777397845785607,0.021299999999999875,1.0,0.00020624999999999973,3.124999999999981e-06
old,shorter/29/E_C,1,0.23622,0.24059999999999998,0.8828301036502928,0.955609756097561,0.9238395673726902,0.004379999999999967,1.0,8.125000000000005e-05,2.8437499999999926e-05
old,shorter/29/E_C,2,1.2252750000000001,1.2268000000000001,0.9681142075568476,0.913159167876149,1.060181227560267,0.0015249999999999986,1.0,2.914062499999976e-05,8.414062500000001e-05
old,shorter/29/E_R,1,0.23518333333333336,0.24059999999999998,0.88609734114466,0.9524097844514413,0.930374042361424,0.005416666666666625,1.0,7.898437499999984e-05,3.0703124999999806e-05
old,shorter/29/E_R,2,1.226525,1.2268000000000001,0.9657206360061549,0.9127413751312918,1.0580441101042914,0.0002750000000000252,1.0,3.1328125e-05,8.437500000000003e-05
old,shorter/29/E_I,1,0.239025,0.24059999999999998,0.8641279855790894,0.9678233438485802,0.8928571428571429,0.001574999999999993,1.0,9.421875000000012e-05,1.992187500000019e-05
old,shorter/29/E_I,2,1.2252750000000001,1.2268000000000001,0.9634980338519403,0.9124099409050427,1.0559924773465554,0.0015249999999999986,1.0,3.3359375000000186e-05,8.453125000000062e-05
old,shorter/43/E_C,1,0.23672,0.24059999999999998,0.8957863902658856,0.94486036838978,0.948062190175755,0.003879999999999967,1.0,7.226562499999996e-05,3.625000000000004e-05
old,shorter/43/E_C,2,1.2260166666666668,1.2268000000000001,0.9612754316977264,0.9234622649256795,1.0409471704564888,0.0007833333333333581,1.0,3.5390624999999724e-05,7.281250000000007e-05
old,shorter/43/E_R,1,0.2373,0.24059999999999998,0.8921811626858945,0.9498620606932947,0.9392744479495271,0.0032999999999999696,1.0,7.476562499999996e-05,3.265625000000013e-05
old,shorter/43/E_R,2,1.2260166666666668,1.2268000000000001,0.959394768336468,0.9242361854566418,1.038040690716362,0.0007833333333333581,1.0,3.7109374999999816e-05,7.187499999999989e-05
old,shorter/43/E_I,1,0.23685,0.24059999999999998,0.8986029743127534,0.9449117403151281,0.9509914375844978,0.0037499999999999756,1.0,7.031250000000006e-05,3.632812500000023e-05
old,shorter/43/E_I,2,1.2245125000000001,1.2268000000000001,0.9623012480765943,0.9176652808347598,1.0486407932979998,0.002287499999999998,1.0,3.445312499999998e-05,7.890625000000009e-05
refined,original/29/E,1,0.23453333333333334,0.24143333333333333,0.8869870777601451,0.9199388666823419,0.964180457946044,0.0068999999999999895,1.0,7.789062499999994e-05,5.3203124999999974e-05
refined,original/29/E,2,1.4919666666666667,1.49965,0.9857321652065081,0.890044072776585,1.1075093867334167,0.007683333333333264,1.0,8.906250000000017e-06,7.601562499999991e-05
refined,original/29/F,1,0.23120000000000002,0.24143333333333333,0.841645885286783,0.9064827249420097,0.9284742688732712,0.010233333333333317,1.0,0.00010914062499999997,5.984374999999989e-05
refined,original/29/F,2,1.5026374999999998,1.49965,0.9083854818523153,0.9075903463798923,1.0008760951188986,0.0029874999999999208,1.0,5.7187500000000055e-05,5.773437500000006e-05
refined,original/43/E,1,0.22922,0.24143333333333333,0.8055996372704605,0.8853868194842407,0.9098843799591932,0.012213333333333326,1.0,0.00013398437499999977,7.1875e-05
refined,original/43/E,2,1.4930999999999999,1.49965,0.9863579474342932,0.8805586592178769,1.120150187734669,0.006550000000000056,1.0,8.515624999999843e-06,8.351562500000015e-05
refined,original/43/F,1,0.201525,0.24143333333333333,0.8420992972115164,0.7589130656859736,1.109612332804353,0.03990833333333332,1.0,0.00010882812500000009,0.0001843750000000003
refined,original/43/F,2,1.5048000000000001,1.49965,0.8937421777221527,0.9251198341754114,0.9660826032540676,0.00515000000000021,1.0,6.632812499999998e-05,4.515624999999995e-05
refined,original/B_E,1,0.2558714285714286,0.24143333333333333,0.7974382226252553,0.9875070185289163,0.8075266379505783,0.01443809523809525,1.0,0.00013960937499999976,6.953125000000015e-06
refined,original/B_E,2,1.5133714285714286,1.49965,0.7758448060075094,0.9929521063591221,0.7813516896120151,0.013721428571428662,1.0,0.00013992187500000002,3.4375000000000226e-06
refined,shorter/29/E,1,0.23726666666666668,0.24143333333333333,0.8699841305826341,0.9618999874671009,0.9044434368623895,0.004166666666666652,1.0,8.960937500000006e-05,2.3750000000000117e-05
refined,shorter/29/E,2,1.224025,1.2268000000000001,0.9666095890410956,0.889396565306444,1.0868150684931506,0.002775000000000194,1.0,3.0468750000000222e-05,0.00010968750000000008
refined,shorter/29/F,1,0.22393333333333335,0.24143333333333333,0.8358648832464297,0.8564459930313592,0.9759691679891181,0.017499999999999988,1.0,0.00011312499999999973,9.656249999999975e-05
refined,shorter/29/F,2,1.2276375,1.2268000000000001,0.9595890410958902,0.8819641170915954,1.0880136986301374,0.0008374999999998245,1.0,3.687500000000023e-05,0.00011718750000000054
refined,shorter/43/E,1,0.23711000000000002,0.24143333333333333,0.8791657220584905,0.9452772699573435,0.930061210609839,0.004323333333333318,1.0,8.32812499999997e-05,3.5078124999999736e-05
refined,shorter/43/E,2,1.22236,1.2268000000000001,0.9654965753424657,0.8944321065989849,1.0794520547945203,0.0044400000000002215,1.0,3.1484375000000045e-05,0.00010398437499999991
refined,shorter/43/F,1,0.21036666666666667,0.24143333333333333,0.8755384266606212,0.8029106029106027,1.0904556789843576,0.03106666666666666,1.0,8.578124999999992e-05,0.00014812500000000014
refined,shorter/43/F,2,1.24922,1.2268000000000001,0.8143835616438359,0.9521521521521521,0.8553082191780824,0.022419999999999884,1.0,0.00016937499999999982,3.734375000000005e-05
refined,shorter/B_E,1,0.2558714285714286,0.24143333333333333,0.7974382226252553,0.9875070185289163,0.8075266379505783,0.01443809523809525,1.0,0.00013960937499999976,6.953125000000015e-06
refined,shorter/B_E,2,1.2481,1.2268000000000001,0.7755136986301372,0.9956034293251265,0.7789383561643838,0.021299999999999875,1.0,0.00020484374999999984,3.124999999999981e-06
refined,shorter/29/E_C,1,0.23622,0.24143333333333333,0.8856268419859443,0.9528048780487807,0.9294944457039219,0.00521333333333332,1.0,7.88281249999999e-05,3.023437499999988e-05
refined,shorter/29/E_C,2,1.2252750000000001,1.2268000000000001,0.96875,0.9123528463151104,1.0618150684931509,0.0015249999999999986,1.0,2.8515625000000004e-05,8.492187500000014e-05
refined,shorter/29/E_R,1,0.23518333333333336,0.24143333333333333,0.8890274314214467,0.9497457011382905,0.9360689186125596,0.006249999999999978,1.0,7.648437499999973e-05,3.242187499999979e-05
refined,shorter/29/E_R,2,1.226525,1.2268000000000001,0.9662671232876711,0.9118526298779994,1.0596746575342464,0.0002750000000000252,1.0,3.078125000000021e-05,8.523437500000013e-05
refined,shorter/29/E_I,1,0.239025,0.24143333333333333,0.8672636590342325,0.9654258675078862,0.8983223758784858,0.0024083333333333456,1.0,9.148437499999999e-05,2.1406250000000158e-05
refined,shorter/29/E_I,2,1.2252750000000001,1.2268000000000001,0.9642979452054792,0.9117623249413093,1.057619863013699,0.0015249999999999986,1.0,3.257812500000027e-05,8.51562500000006e-05
refined,shorter/43/E_C,1,0.23672,0.24143333333333333,0.8993425527091363,0.942840166369578,0.9538653366583544,0.004713333333333319,1.0,6.937499999999988e-05,3.757812500000007e-05
refined,shorter/43/E_C,2,1.2260166666666668,1.2268000000000001,0.9618150684931507,0.9225589225589222,1.042551369863014,0.0007833333333333581,1.0,3.4843750000000044e-05,7.367187500000028e-05
refined,shorter/43/E_R,1,0.2373,0.24143333333333333,0.8957152573112677,0.9478229578985248,0.9450238041260489,0.004133333333333322,1.0,7.187499999999967e-05,3.3984374999999943e-05
refined,shorter/43/E_R,2,1.2260166666666668,1.2268000000000001,0.959931506849315,0.9233303137610146,1.0396404109589041,0.0007833333333333581,1.0,3.656250000000003e-05,7.273437499999999e-05
refined,shorter/43/E_I,1,0.23685,0.24143333333333333,0.9020630242575379,0.9427792915531331,0.956812514169123,0.004583333333333328,1.0,6.749999999999996e-05,3.7734375000000224e-05
refined,shorter/43/E_I,2,1.2245125000000001,1.2268000000000001,0.9628424657534246,0.9167685660715741,1.0502568493150686,0.002287499999999998,1.0,3.390625000000008e-05,7.976562500000008e-05
