reference,reader,object,cycle,start,end,reference_energy,predicted_energy,signed_energy_error
refined,fine,shorter/43/F,2,1.01,1.36,0.2191005235789181,0.20597917944301242,-0.013121344135905709
refined,fine,shorter/B_E,1,0.0,0.35,0.2143037337639257,0.2122001987822853,-0.00210353498164039
refined,fine,shorter/B_E,2,1.01,1.36,0.2191005235789181,0.2055370954124544,-0.013563428166463715
spatial,coarse,shorter/29/E,1,0.0,0.35,0.21456697442968875,0.2144754029227266,-9.157150696212114e-05
spatial,coarse,shorter/29/E,2,1.01,1.36,0.2193068469866643,0.22024483078738505,0.0009379838007207389
spatial,coarse,shorter/29/D_E,1,0.0,0.35,0.21456697442968875,0.21471074423060482,0.00014376980091610842
spatial,coarse,shorter/29/D_E,2,1.01,1.36,0.2193068469866643,0.22032308162457823,0.0010162346379138868
spatial,coarse,shorter/29/F,1,0.0,0.35,0.21456697442968875,0.21435502350597332,-0.00021195092371541392
spatial,coarse,shorter/29/F,2,1.01,1.36,0.2193068469866643,0.20589242066799857,-0.013414426318665762
spatial,coarse,shorter/43/E,1,0.0,0.35,0.21456697442968875,0.21401183015194516,-0.0005551442777435786
spatial,coarse,shorter/43/E,2,1.01,1.36,0.2193068469866643,0.2203347877926407,0.0010279408059763963
spatial,coarse,shorter/43/D_E,1,0.0,0.35,0.21456697442968875,0.21407017596684053,-0.0004967984628481954
spatial,coarse,shorter/43/D_E,2,1.01,1.36,0.2193068469866643,0.22027801556450155,0.0009711685778372014
spatial,coarse,shorter/43/F,1,0.0,0.35,0.21456697442968875,0.21392705825603114,-0.0006399161736576166
spatial,coarse,shorter/43/F,2,1.01,1.36,0.2193068469866643,0.20564953890143756,-0.013657308085226758
spatial,coarse,shorter/B_E,1,0.0,0.35,0.21456697442968875,0.21187180702172392,-0.002695167407964807
spatial,coarse,shorter/B_E,2,1.01,1.36,0.2193068469866643,0.2051901835842,-0.014116663402464336
spatial,fine,shorter/29/E,1,0.0,0.35,0.21456697442968875,0.21475845011207578,0.00019147568238702133
spatial,fine,shorter/29/E,2,1.01,1.36,0.2193068469866643,0.22053329978950964,0.0012264528028453005
spatial,fine,shorter/29/D_E,1,0.0,0.35,0.21456697442968875,0.2149931317683993,0.00042615733871057
spatial,fine,shorter/29/D_E,2,1.01,1.36,0.2193068469866643,0.22062900246073558,0.0013221554740712408
spatial,fine,shorter/29/F,1,0.0,0.35,0.21456697442968875,0.21464607675123779,7.910232154907326e-05
spatial,fine,shorter/29/F,2,1.01,1.36,0.2193068469866643,0.20624494381380004,-0.013061903172864283
spatial,fine,shorter/43/E,1,0.0,0.35,0.21456697442968875,0.21429652989430895,-0.0002704445353797992
spatial,fine,shorter/43/E,2,1.01,1.36,0.2193068469866643,0.2206052712435025,0.0012984242568381667
spatial,fine,shorter/43/D_E,1,0.0,0.35,0.21456697442968875,0.21435535772053274,-0.0002116167091559948
spatial,fine,shorter/43/D_E,2,1.01,1.36,0.2193068469866643,0.22055065641371774,0.001243809427053424
spatial,fine,shorter/43/F,1,0.0,0.35,0.21456697442968875,0.21421752111223485,-0.00034945331745387764
spatial,fine,shorter/43/F,2,1.01,1.36,0.2193068469866643,0.20597917944301242,-0.013327667543651939
spatial,fine,shorter/B_E,1,0.0,0.35,0.21456697442968875,0.2122001987822853,-0.0023667756474034392
spatial,fine,shorter/B_E,2,1.01,1.36,0.2193068469866643,0.2055370954124544,-0.013769751574209944
