reference,reader,object,pulse_1_signed_error,pulse_2_signed_error,full_signed_energy_error,full_reference_energy,full_energy_error,sum_absolute_pulse_errors
spatial,coarse,shorter/43/E,-0.0005551442777435786,0.0010279408059763963,0.00047279652823281745,0.43387382141635306,0.0010897097379357983,0.0015830850837199749
spatial,coarse,shorter/43/D_E,-0.0004967984628481954,0.0009711685778372014,0.00047437011498900584,0.43387382141635306,0.0010933365683148508,0.0014679670406853968
spatial,coarse,shorter/43/F,-0.0006399161736576166,-0.013657308085226758,-0.014297224258884376,0.43387382141635306,0.032952493451234306,0.014297224258884375
spatial,coarse,shorter/B_E,-0.002695167407964807,-0.014116663402464336,-0.01681183081042914,0.43387382141635306,0.03874820277367278,0.016811830810429144
spatial,fine,shorter/29/E,0.00019147568238702133,0.0012264528028453005,0.0014179284852323221,0.43387382141635306,0.003268066463663528,0.001417928485232322
spatial,fine,shorter/29/D_E,0.00042615733871057,0.0013221554740712408,0.0017483128127818107,0.43387382141635306,0.00402954206150202,0.0017483128127818107
spatial,fine,shorter/29/F,7.910232154907326e-05,-0.013061903172864283,-0.012982800851315209,0.43387382141635306,0.029922987307539537,0.013141005494413356
spatial,fine,shorter/43/E,-0.0002704445353797992,0.0012984242568381667,0.0010279797214583675,0.43387382141635306,0.002369305707596264,0.0015688687922179659
spatial,fine,shorter/43/D_E,-0.0002116167091559948,0.001243809427053424,0.0010321927178974294,0.43387382141635306,0.0023790158957456868,0.0014554261362094189
spatial,fine,shorter/43/F,-0.00034945331745387764,-0.013327667543651939,-0.013677120861105813,0.43387382141635306,0.031523268254484066,0.013677120861105816
spatial,fine,shorter/B_E,-0.0023667756474034392,-0.013769751574209944,-0.016136527221613385,0.43387382141635306,0.03719175120761316,0.01613652722161338
