protocol,seed,candidate,baseline,layer,kind,metric,reference_delta,base_normalizer,relative_radius,absolute_radius,sufficient_radius,nominal_pass,certified_at_observed_radius
original,29,original/29/E,original/B_E,B,noninferior,S,1.6874999999999953e-05,1.0,12.972899728997339,11.210944444444483,12.972899728997339,True,True
original,29,original/29/E,original/B_E,B,noninferior,Ephi,0.0003903451477262402,1.0,6.143666675783653,4.77618254961881,6.143666675783653,True,True
original,29,original/29/E,original/B_E,B,noninferior,ET,0.0004479333627881214,1.0,3.638877894618539,2.989881789323331,3.638877894618539,True,True
original,29,original/29/E,original/B_E,B,noninferior,EV,7.216584788074379e-05,1.0,9.3995274833962,8.748899432128812,9.3995274833962,True,True
original,29,original/29/E,original/B_E,B,noninferior,EI,0.00026573135288415544,0.5192396884541327,9.115829188130284,8.500456816464652,9.115829188130284,True,True
original,43,original/43/E,original/43/F,A,gain,S,1.6874999999999953e-05,1.0,-0.136939571150086,3.5807222222222417,0.0,False,False
original,43,original/43/E,original/43/F,A,gain,Ephi,0.0003903451477262402,1.0,0.5591754413386236,3.6658893491201283,0.5591754413386236,True,False
original,43,original/43/E,original/43/F,A,noninferior,ET,0.0004479333627881214,1.0,0.6949853891321379,0.1304268878577904,0.6949853891321379,True,False
original,43,original/43/E,original/43/F,A,noninferior,EI,0.00026573135288415544,0.5192396884541327,15.740269305808818,14.635215856690461,15.740269305808818,True,True
original,43,original/43/E,original/43/F,A,noninferior,EV,7.216584788074379e-05,1.0,17.051584709922988,15.868550445773703,17.051584709922988,True,True
original,43,original/43/E,original/43/F,B,gain,bottom_current_NRMSE,0.00026573135288415544,0.5192396884541327,12.247564676272964,14.633261855315753,12.247564676272964,True,True
original,43,original/43/E,original/43/F,B,gain,power_trace_NRMSE,0.0001870039609800658,0.3596171853089629,12.807753668659036,15.2199554030529,12.807753668659036,True,True
original,43,original/43/E,original/43/F,B,noninferior,S,1.6874999999999953e-05,1.0,5.3039747064137535,3.5813148148148337,5.3039747064137535,True,True
original,43,original/43/E,original/43/F,B,noninferior,Ephi,0.0003903451477262402,1.0,5.107460551766253,3.668451184474878,5.107460551766253,True,True
original,43,original/43/E,original/43/F,B,noninferior,ET,0.0004479333627881214,1.0,0.6949853891321379,0.1304268878577904,0.6949853891321379,True,False
