protocol,seed,comparator,metric,E,comparator_value,E_minus_comparator,relative_reduction_percent,percentage_point_change
Shorter gap,29,B_E,power_percent,0.9993320589703839,2.0489387231699214,-1.0496066641995374,51.226845016413506,-1.0496066641995374
Shorter gap,29,B_E,energy_percent,0.287606086266471,1.5059309720727836,-1.2183248858063127,80.90177494187492,-1.2183248858063127
Shorter gap,43,F_raw/projected,S,0.0010735156249999998,0.001197734375,-0.0001242187500000002,10.37114343487054,
Shorter gap,43,F_raw/projected,Ephi,0.018619221717954475,0.0233632244353989,-0.004744002717444424,20.305428005290768,
Shorter gap,43,F_raw/projected,ET,0.010960980041449084,0.0114088216040331,-0.00044784156258401674,3.9253971893617963,
Shorter gap,43,F_raw/projected,EV,0.0010802508400533871,0.004585264153895475,-0.0035050133138420877,76.44081553871558,
Shorter gap,43,F_raw/projected,current_percent,0.6821188750454754,2.9917345965852444,-2.3096157215397692,77.19988678728242,-2.3096157215397692
Shorter gap,43,F_raw/projected,power_percent,0.6727584643777657,3.0946863267700393,-2.4219278623922738,78.26085123528718,-2.4219278623922738
Shorter gap,43,F_raw/projected,energy_percent,0.16271789511990614,0.25736041848725977,-0.09464252336735363,36.77431204209779,-0.09464252336735363
Shorter gap,43,B_E,S,0.0010735156249999998,0.0015754687500000003,-0.0005019531250000004,31.860557373797505,
Shorter gap,43,B_E,Ephi,0.018619221717954475,0.02552352964250399,-0.006904307924549515,27.05075677719693,
Shorter gap,43,B_E,ET,0.010960980041449084,0.012800189053165364,-0.0018392090117162804,14.368608182872594,
Shorter gap,43,B_E,EV,0.0010802508400533871,0.003005663306483679,-0.001925412466430292,64.05948604678643,
Shorter gap,43,B_E,current_percent,0.6821188750454754,2.0031855675185706,-1.3210666924730952,65.94829325320848,-1.3210666924730952
Shorter gap,43,B_E,power_percent,0.6727584643777657,2.0489387231699214,-1.3761802587921559,67.16551565110068,-1.3761802587921559
Shorter gap,43,B_E,energy_percent,0.16271789511990614,1.5059309720727836,-1.3432130769528774,89.19486363336169,-1.3432130769528774
