protocol,seed,candidate,baseline,metric,old_margin,new_margin,new_margin_fixed_old_denominator,tested_margin_change,triangle_bound,comparison_with_same_norm,relative_gate_only_absolute_tolerances_applied_separately
shorter,43,shorter/43/E_R,shorter/43/E_C,Ephi,-0.001592623520953294,-0.0015856835643832303,,6.939956570063688e-06,0.0006114806437327446,True,True
shorter,43,shorter/43/E_R,shorter/43/E_C,ET,-0.0010984744918792564,-0.0011011192199993428,,-2.6447281200863565e-06,0.0007589362393064261,True,True
shorter,43,shorter/43/E_R,shorter/43/E_C,EV,-7.419177384964098e-05,-7.194673100278796e-05,,2.2450428468530218e-06,0.0001043756411740918,True,True
shorter,43,shorter/43/E_R,shorter/43/E_C,EI,-0.00039601448024956243,-0.00038079317200187014,-0.00038067928987193037,1.5335190377632063e-05,0.0007377383827681128,True,True
shorter,43,shorter/43/E_R,shorter/43/E_C,power_trace_NRMSE,-0.00034197525370170765,-0.00033012251692982313,-0.0003300215678988085,1.1953685802899155e-05,0.000753000550978754,True,True
shorter,43,shorter/43/E_R,shorter/43/E_C,bottom_current_NRMSE,-0.0003960144802505998,-0.00038079317200281036,-0.00038067928987286885,1.5335190377730942e-05,0.0007377383827681128,True,True
shorter,43,shorter/43/E_I,shorter/43/E_C,S,-0.00013010937500000002,-0.0001291249999999999,,9.84375000000117e-07,3.1765624999999974e-05,True,True
shorter,43,shorter/43/E_I,shorter/43/E_C,Ephi,-0.0020420255151111493,-0.002033911842268069,,8.113672843080427e-06,0.0006114806437327446,True,True
shorter,43,shorter/43/E_I,shorter/43/E_C,ET,-0.0011437379112911438,-0.0011501623281977014,,-6.4244169065575535e-06,0.0007589362393064261,True,True
shorter,43,shorter/43/E_I,shorter/43/E_C,EV,-4.076660813549229e-05,-4.0160864372822255e-05,,6.057437626700354e-07,0.0001043756411740918,True,True
shorter,43,shorter/43/E_I,shorter/43/E_C,EI,-0.00021221632153498038,-0.00020754200784077383,-0.0002074799391703179,4.736382364662478e-06,0.0007377383827681128,True,True
shorter,43,shorter/43/E_I,shorter/43/E_C,power_trace_NRMSE,-0.0001698540804650414,-0.00016866523903893375,-0.00016861366245274692,1.2404180122944919e-06,0.000753000550978754,True,True
shorter,43,shorter/43/E_I,shorter/43/E_C,bottom_current_NRMSE,-0.0002122163215375365,-0.00020754200784341495,-0.00020747993917295728,4.736382364579211e-06,0.0007377383827681128,True,True
shorter,43,shorter/43/E_I,shorter/43/E_R,S,-0.00012989843749999991,-0.00012877343749999998,,1.1249999999999325e-06,3.1765624999999974e-05,True,True
shorter,43,shorter/43/E_I,shorter/43/E_R,Ephi,-0.002135383176641543,-0.002129878564873861,,5.5046117676815776e-06,0.0006114806437327446,True,True
shorter,43,shorter/43/E_I,shorter/43/E_R,ET,-0.0010908233996280593,-0.001097773999876232,,-6.950600248172706e-06,0.0007589362393064261,True,True
shorter,43,shorter/43/E_I,shorter/43/E_R,EV,-6.20988682583268e-05,-6.511334638935936e-05,,-3.0144781310325643e-06,0.0001043756411740918,True,True
shorter,43,shorter/43/E_I,shorter/43/E_R,EI,-0.0004146275376566335,-0.00043613783932597815,-0.0004360074055111355,-2.1379867854501994e-05,0.0007377383827681128,True,True
shorter,43,shorter/43/E_I,shorter/43/E_R,power_trace_NRMSE,-0.00041500278018834994,-0.00043972504689614167,-0.00043959058221978466,-2.4587802031434715e-05,0.000753000550978754,True,True
shorter,43,shorter/43/E_I,shorter/43/E_R,bottom_current_NRMSE,-0.00041462753765792327,-0.0004361378393274483,-0.0004360074055126057,-2.1379867854682405e-05,0.0007377383827681128,True,True
