time,nominal_roi_phase,joule_off_roi_phase,nominal_roi_temperature_max,joule_off_roi_temperature_max
0.235,0.0330578512397,0,1.02419001711,0.00147105709924
0.24,0.0392561983471,0,1.02166619299,0.00148432803438
0.245,0.0433884297521,0,1.01975467794,0.00149710211239
0.25,0.051652892562,0,1.01836281507,0.00150939019073
0.255,0.0537190082645,0,1.01740917734,0.00152120288313
0.26,0.0578512396694,0,1.01682305047,0.00153255056646
0.265,0.0661157024793,0,1.01654350957,0.00154344338728
0.27,0.0743801652893,0,1.01651875916,0.00155389126819
0.275,0.0805785123967,0,1.01670536479,0.00156390391388
0.28,0.0888429752066,0,1.01706711898,0.00157349081705
0.285,0.0929752066116,0,1.01757366134,0.00158266126399
0.29,0.105371900826,0,1.01819915437,0.00159142434012
0.295,0.109504132231,0,1.01892128533,0.00159978893521
0.3,0.113636363636,0,1.01972069966,0.00160776374845
0.305,0.126033057851,0,1.01097459662,0.0016153572934
0.31,0.134297520661,0,0.994921725154,0.00162257790272
0.315,0.142561983471,0,0.97464459464,0.00162943373276
0.32,0.154958677686,0,0.951845002304,0.00163593276797
0.325,0.159090909091,0,0.927687684233,0.00164208282527
0.33,0.167355371901,0,0.903069222564,0.00164789155814
0.335,0.181818181818,0,0.878726477544,0.00165336646065
0.34,0.185950413223,0,0.855288175337,0.00165851487142
0.345,0.196280991736,0,0.833302706201,0.00166334397732
0.35,0.20041322314,0,0.813459950758,0.00166786081721
0.355,0.212809917355,0,0.796116191541,0.00167207228544
0.36,0.221074380165,0,0.779972814004,0.0016759851353
0.365,0.229338842975,0,0.764826506387,0.00167960598239
0.37,0.237603305785,0,0.750667919853,0.00168294130784
0.375,0.24173553719,0,0.737117826896,0.00168599746147
0.38,0.25,0,0.724108586566,0.00168878066484
0.385,0.25826446281,0,0.711587461168,0.00169129701421
0.39,0.262396694215,0,0.699512324479,0.00169355248344
0.395,0.264462809917,0,0.687848720996,0.00169555292678
0.4,0.276859504132,0,0.676588293026,0.00169730409526
0.405,0.287190082645,0,0.666094571739,0.00169881160942
0.41,0.289256198347,0,0.655899678158,0.00170008096642
0.415,0.295454545455,0,0.645988338308,0.00170111756877
0.42,0.305785123967,0,0.636346893118,0.0017019267122
0.425,0.307851239669,0,0.626962992627,0.00170251358806
0.43,0.316115702479,0,0.61782536457,0.00170288328557
0.435,0.322314049587,0,0.608923637419,0.00170304079409
0.44,0.326446280992,0,0.600248203473,0.0017029910053
0.445,0.328512396694,0,0.591790111609,0.00170273871532
0.45,0.330578512397,0,0.583810078205,0.00170228862675
0.455,0.330578512397,0,0.576032104281,0.00170164535071
0.46,0.332644628099,0,0.56842784996,0.00170081340877
0.465,0.334710743802,0,0.560991861715,0.00169979723486
0.47,0.336776859504,0,0.553718912005,0.00169860117714
0.475,0.338842975207,0,0.546603980195,0.00169722949977
0.48,0.340909090909,0,0.539680964141,0.00169568638469
0.485,0.340909090909,0,0.532974152746,0.00169397593336
0.49,0.340909090909,0,0.526585257313,0.00169210216836
0.495,0.342975206612,0,0.52032019614,0.00169006903509
0.5,0.342975206612,0,0.514175767846,0.00168788040331
0.505,0.342975206612,0,0.508148833157,0.00168554006869
0.51,0.342975206612,0,0.502236314898,0.00168305175436
0.515,0.342975206612,0,0.496435198061,0.00168041911231
0.52,0.342975206612,0,0.490743863648,0.0016776457249
0.525,0.342975206612,0,0.485337995036,0.00167473510619
0.53,0.342975206612,0,0.480025480626,0.00167169070335
0.535,0.342975206612,0,0.474804075384,0.00166851589798
0.54,0.345041322314,0,0.469671560818,0.0016652140074
0.545,0.342975206612,0,0.464625748043,0.00166180627848
0.55,0.342975206612,0,0.459800289628,0.00165828990449
0.555,0.342975206612,0,0.455131948399,0.0016546553465
0.56,0.342975206612,0,0.450534313157,0.00165090567613
0.565,0.342975206612,0,0.446005705641,0.00164704390749
0.57,0.342975206612,0,0.441608240756,0.00164307299831
0.575,0.342975206612,0,0.437356160871,0.00163899585095
0.58,0.342975206612,0,0.433161835218,0.00163481531348
0.585,0.342975206612,0,0.429064451615,0.00163053418068
0.59,0.340909090909,0,0.425156612561,0.00162615519502
0.595,0.338842975207,0,0.421360212501,0.00162168104763
0.6,0.338842975207,0,0.41765817027,0.00161711437926
0.605,0.338842975207,0,0.414198630855,0.0016124577812
0.61,0.338842975207,0,0.410829720603,0.0016077137962
0.615,0.338842975207,0,0.407487424399,0.0016028849193
0.62,0.338842975207,0,0.404171003631,0.0015979735988
0.625,0.338842975207,0,0.400879779492,0.00159298223699
0.63,0.336776859504,0,0.397613128526,0.00158791319108
0.635,0.336776859504,0,0.39437047855,0.00158276877395
0.64,0.332644628099,0,0.391151304915,0.001577551255
0.645,0.332644628099,0,0.387955127076,0.00157226286087
0.65,0.328512396694,0,0.384781505426,0.00156690577624
0.655,0.328512396694,0,0.381630038384,0.00156148214458
0.66,0.328512396694,0,0.378500359689,0.00155599406886
0.665,0.328512396694,0,0.375392135888,0.00155044361229
0.67,0.328512396694,0,0.372305064012,0.00154483279903
0.675,0.326446280992,0,0.369238869389,0.00153916361482
0.68,0.324380165289,0,0.366193303579,0.00153343800773
0.685,0.322314049587,0,0.36316814246,0.00152765788879
0.69,0.322314049587,0,0.360163184413,0.00152182513263
0.695,0.320247933884,0,0.357178248609,0.00151594157812
0.7,0.320247933884,0,0.35421317339,0.00151000902899
0.705,0.320247933884,0,0.351267814733,0.00150402925448
0.71,0.316115702479,0,0.348342044795,0.00149800398987
0.715,0.314049586777,0,0.345435750533,0.00149193493713
0.72,0.311983471074,0,0.342548832394,0.00148582376545
0.725,0.309917355372,0,0.339681203075,0.00147967211186
0.73,0.309917355372,0,0.336834480035,0.00147348158171
0.735,0.307851239669,0,0.334024062763,0.00146725374929
0.74,0.307851239669,0,0.331233000211,0.00146099015832
0.745,0.307851239669,0,0.32846120132,0.00145469232247
0.75,0.307851239669,0,0.325708582945,0.00144836172592
0.755,0.307851239669,0,0.322975069156,0.0014419998238
0.76,0.305785123967,0,0.320260590562,0.00143560804275
0.765,0.305785123967,0,0.317565083668,0.00142918778135
0.77,0.303719008264,0,0.314888490258,0.00142274041063
