reference,protocol,seed,role,valid,strict,S,Ephi,ET,EV,EI,bottom_current_NRMSE,power_trace_NRMSE,energy_error,local_joule_NRMSE,normalizer_top_current,normalizer_bottom_current,normalizer_power,normalizer_local_q,fixed_old_denominator_EI,fixed_old_denominator_bottom_current_NRMSE,fixed_old_denominator_power_trace_NRMSE,fixed_old_denominator_local_joule_NRMSE
old,shorter,29,E_R,True,False,0.00100875,0.017719898278051788,0.010450506414582903,0.0014395095214991714,0.009327608069242727,0.009327608069244679,0.009392457201827683,0.004146796702492078,0.053998694916936575,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.009327608069242727,0.009327608069244679,0.009392457201827683,0.053998694916936575
old,shorter,29,E_I,True,False,0.000952109375,0.01727237499932336,0.010451443156954536,0.0014141330118079146,0.009017786991447101,0.009017786991448819,0.009007671989507936,0.004183316184981865,0.053116797498190454,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.009017786991447101,0.009017786991448819,0.009007671989507936,0.053116797498190454
old,shorter,43,E_C,True,False,0.00097375,0.016963542559870634,0.010396805900313838,0.0009789428509723488,0.0062091583149584345,0.006209158314954734,0.006143626978387168,0.0015108145037286739,0.0477253138163399,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.0062091583149584345,0.006209158314954734,0.006143626978387168,0.0477253138163399
old,shorter,43,E_R,True,False,0.0009739843750000001,0.016859811824836864,0.01045559980216171,0.0009552403397247548,0.005984256963712154,0.0059842569637098605,0.005871239534250159,0.0011284399649494816,0.048449454606728976,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.005984256963712154,0.0059842569637098605,0.005871239534250159,0.048449454606728976
old,shorter,43,E_I,True,False,0.001006484375,0.01730921381899472,0.010500863221573597,0.0009218151740106061,0.005800458804997572,0.005800458804996797,0.005699118361013493,0.0009677037630473153,0.0466513324647435,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.005800458804997572,0.005800458804996797,0.005699118361013493,0.0466513324647435
refined,original,29,E,True,False,0.001026328125,0.020042740206674476,0.010657336493552662,0.0013198739890158714,0.008779977108918058,0.008779977108921682,0.008845132418566175,0.0031181809841656855,0.047710979452963986,0.5190399948066103,0.5190399948066103,0.35947750077673196,0.27392019027267683,0.008776600430106654,0.008776600430110278,0.008841696742422538,0.04772214897097628
refined,original,29,F,True,False,0.001220625,0.023948308537485443,0.010986504586469876,0.0025971506208735166,0.016845376811265418,0.01684537681126619,0.01725040462306236,0.001975330419135011,0.09218301284505061,0.5190399948066103,0.5190399948066103,0.35947750077673196,0.27392019027267683,0.016838898271943153,0.016838898271943927,0.017243704123756417,0.09220459361815997
refined,original,43,E,True,False,0.001128359375,0.021642673019008584,0.010380526649104068,0.002383562069163395,0.01592263658522475,0.015922636585227124,0.016155682579659596,0.006936765789933076,0.07909094342969357,0.5190399948066103,0.5190399948066103,0.35947750077673196,0.27392019027267683,0.015916512921243395,0.015916512921245768,0.016149407298454464,0.0791094592457044
refined,original,43,F,True,False,0.0012490625000000002,0.024490240646485043,0.010511225718101758,0.004664011170049807,0.03083367519089245,0.030833675190894857,0.03190837367974663,0.012561070730575535,0.1280579437250869,0.5190399948066103,0.5190399948066103,0.35947750077673196,0.27392019027267683,0.030821816911946708,0.030821816911949112,0.03189597964955623,0.128087923103533
refined,original,-,B_E,True,False,0.0014003125,0.023631555075184097,0.01342231856258858,0.0024878868372018702,0.016784115904325957,0.016784115904323122,0.017056146529135074,0.011488281044020427,0.09640622759371782,0.5190399948066103,0.5190399948066103,0.35947750077673196,0.27392019027267683,0.016777660925248083,0.016777660925245252,0.017049521484651903,0.09642879705483456
