reference,protocol,seed,role,region,measure,FN,FP,reference_active_mass,predicted_active_mass,conditional_RMS
refined,shorter,29,E,heating_windows/near_threshold,0.00026937500000000003,5.8281249999999936e-05,4.8671875000000036e-05,0.00013015624999999982,0.00012054687499999989,0.11006866684327411
refined,shorter,29,E,heating_windows/outside_threshold,0.2802306249999987,6.179687500000004e-05,8.476562500000002e-05,0.0014715625000000002,0.0014945312500000002,0.011426348244707537
refined,shorter,29,F,full_history/near_threshold,0.0012548437499999997,0.0002156249999999992,0.000299765625000001,0.00059953125,0.0006836718749999996,0.11623984645707595
refined,shorter,29,F,full_history/outside_threshold,0.9987451562499953,0.00027335937499999957,0.00046984375000000113,0.0052929687500000025,0.005489453124999998,0.012451693598675222
refined,shorter,29,F,heating_windows/near_threshold,0.00026937500000000003,5.195312499999991e-05,6.132812500000008e-05,0.00013015624999999982,0.00013953124999999995,0.1279978809942433
refined,shorter,29,F,heating_windows/outside_threshold,0.2802306249999987,9.804687500000008e-05,0.000152421875,0.0014715625000000002,0.001525937500000001,0.01703793980532811
refined,shorter,43,E,full_history/near_threshold,0.0012548437499999997,0.0001924218749999993,0.0003113281250000013,0.00059953125,0.0007184375000000013,0.09620648795769264
refined,shorter,43,E,full_history/outside_threshold,0.9987451562499953,0.0001490624999999999,0.0004147656250000008,0.0052929687500000025,0.005558671874999994,0.009641761973127005
refined,shorter,43,E,heating_windows/near_threshold,0.00026937500000000003,5.710937499999996e-05,5.5390624999999986e-05,0.00013015624999999982,0.00012843749999999992,0.10339058273488458
refined,shorter,43,E,heating_windows/outside_threshold,0.2802306249999987,5.765624999999996e-05,8.367187500000006e-05,0.0014715625000000002,0.001497578125000001,0.010492307277145927
refined,shorter,43,F,full_history/near_threshold,0.0012548437499999997,0.00023523437499999928,0.00025976562500000045,0.00059953125,0.0006240625000000004,0.10977811943187192
refined,shorter,43,F,full_history/outside_threshold,0.9987451562499953,0.0003042187499999995,0.00039585937500000124,0.0052929687500000025,0.005384609374999996,0.012240115449614467
refined,shorter,43,F,heating_windows/near_threshold,0.00026937500000000003,7.437499999999994e-05,4.210937499999999e-05,0.00013015624999999982,9.789062499999989e-05,0.15745999366197969
refined,shorter,43,F,heating_windows/outside_threshold,0.2802306249999987,0.00018078124999999995,0.0001433593749999998,0.0014715625000000002,0.0014341406250000003,0.01840111075298443
