Reference,Candidate,Baseline,Comparison scope,Metric,Candidate error,Baseline error,Signed error difference,Difference in percentage points,Relative error reduction %
old,shorter/43/E_I,shorter/43/E_C,matched phase-head development,bottom_current_NRMSE,0.005800458804996797,0.006209158314954734,-0.0004086995099579372,-0.04086995099579372,6.582204692278275
old,shorter/43/E_I,shorter/43/E_C,matched phase-head development,power_trace_NRMSE,0.005699118361013493,0.006143626978387168,-0.00044450861737367533,-0.044450861737367536,7.235280054232203
old,shorter/43/E_I,shorter/43/E_C,matched phase-head development,energy_error,0.0009677037630473153,0.0015108145037286739,-0.0005431107406813586,-0.05431107406813586,35.948208025602554
old,shorter/43/E_I,shorter/43/E_C,matched phase-head development,local_joule_NRMSE,0.0466513324647435,0.0477253138163399,-0.0010739813515963995,-0.10739813515963995,2.2503390040123663
old,shorter/43/E_R,shorter/43/E,parent-state retention,S,0.0009739843750000001,0.0010735156249999998,-9.953124999999969e-05,,9.27152317880792
old,shorter/43/E_R,shorter/43/E,parent-state retention,Ephi,0.016859811824836864,0.018619221717954475,-0.001759409893117611,,9.449427692356313
old,shorter/43/E_R,shorter/43/E,parent-state retention,ET,0.01045559980216171,0.010960980041449084,-0.0005053802392873744,-0.050538023928737436,4.610721280179989
old,shorter/43/E_R,shorter/43/E,parent-state retention,EV,0.0009552403397247548,0.0010802508400533871,-0.0001250105003286323,,11.572358538731075
old,shorter/43/E_R,shorter/43/E,parent-state retention,EI,0.005984256963712154,0.006821188750453961,-0.0008369317867418071,-0.0836931786741807,12.269588445065502
old,shorter/43/E_R,shorter/43/E,parent-state retention,bottom_current_NRMSE,0.0059842569637098605,0.006821188750454754,-0.0008369317867448932,-0.08369317867448932,12.269588445109319
old,shorter/43/E_R,shorter/43/E,parent-state retention,power_trace_NRMSE,0.005871239534250159,0.006727584643777657,-0.0008563451095274979,-0.08563451095274979,12.728864144719926
old,shorter/43/E_R,shorter/43/E,parent-state retention,energy_error,0.0011284399649494816,0.0016271789511990613,-0.0004987389862495797,-0.049873898624957974,30.650530839405285
old,shorter/43/E_R,shorter/43/E,parent-state retention,local_joule_NRMSE,0.048449454606728976,0.04770874623981139,0.0007407083669175862,0.07407083669175862,-1.5525630524733625
old,shorter/43/E_I,shorter/43/E,parent-state retention,S,0.001006484375,0.0010735156249999998,-6.703124999999982e-05,,6.24408703878901
old,shorter/43/E_I,shorter/43/E,parent-state retention,Ephi,0.01730921381899472,0.018619221717954475,-0.0013100078989597558,,7.0357822620293415
old,shorter/43/E_I,shorter/43/E,parent-state retention,ET,0.010500863221573597,0.010960980041449084,-0.00046011681987548694,-0.046011681987548694,4.197770802752577
old,shorter/43/E_I,shorter/43/E,parent-state retention,EV,0.0009218151740106061,0.0010802508400533871,-0.000158435666042781,,14.666562632337406
old,shorter/43/E_I,shorter/43/E,parent-state retention,EI,0.005800458804997572,0.006821188750453961,-0.0010207299454563891,-0.10207299454563891,14.964106445353208
old,shorter/43/E_I,shorter/43/E,parent-state retention,bottom_current_NRMSE,0.005800458804996797,0.006821188750454754,-0.0010207299454579565,-0.10207299454579565,14.964106445374446
old,shorter/43/E_I,shorter/43/E,parent-state retention,power_trace_NRMSE,0.005699118361013493,0.006727584643777657,-0.001028466282764164,-0.10284662827641641,15.28730350075034
old,shorter/43/E_I,shorter/43/E,parent-state retention,energy_error,0.0009677037630473153,0.0016271789511990613,-0.000659475188151746,-0.0659475188151746,40.528743790950685
old,shorter/43/E_I,shorter/43/E,parent-state retention,local_joule_NRMSE,0.0466513324647435,0.04770874623981139,-0.001057413775067892,-0.10574137750678919,2.2163939705158606
old,shorter/43/E_I,shorter/43/E_R,equal-trainable-parameter gate,S,0.001006484375,0.0009739843750000001,3.249999999999987e-05,,-3.3368091762252208
old,shorter/43/E_I,shorter/43/E_R,equal-trainable-parameter gate,Ephi,0.01730921381899472,0.016859811824836864,0.0004494019941578553,,-2.6655220047938095
old,shorter/43/E_I,shorter/43/E_R,equal-trainable-parameter gate,ET,0.010500863221573597,0.01045559980216171,4.526341941188741e-05,0.004526341941188741,-0.43291078721786136
old,shorter/43/E_I,shorter/43/E_R,equal-trainable-parameter gate,EV,0.0009218151740106061,0.0009552403397247548,-3.342516571414869e-05,,3.49913674330168
old,shorter/43/E_I,shorter/43/E_R,equal-trainable-parameter gate,EI,0.005800458804997572,0.005984256963712154,-0.00018379815871458205,-0.018379815871458205,3.0713614042497333
old,shorter/43/E_I,shorter/43/E_R,equal-trainable-parameter gate,bottom_current_NRMSE,0.005800458804996797,0.0059842569637098605,-0.0001837981587130633,-0.01837981587130633,3.0713614042255313
old,shorter/43/E_I,shorter/43/E_R,equal-trainable-parameter gate,power_trace_NRMSE,0.005699118361013493,0.005871239534250159,-0.00017212117323666624,-0.017212117323666624,2.9315985531264577
old,shorter/43/E_I,shorter/43/E_R,equal-trainable-parameter gate,energy_error,0.0009677037630473153,0.0011284399649494816,-0.0001607362019021663,-0.01607362019021663,14.244107519655438
old,shorter/43/E_I,shorter/43/E_R,equal-trainable-parameter gate,local_joule_NRMSE,0.0466513324647435,0.048449454606728976,-0.0017981221419854782,-0.17981221419854782,3.7113361885723752
refined,original/29/E,original/29/F,historical matched method,S,0.001026328125,0.001220625,-0.00019429687500000003,,15.917818740399387
refined,original/29/E,original/29/F,historical matched method,Ephi,0.020042740206674476,0.023948308537485443,-0.003905568330810967,,16.30832643022666
refined,original/29/E,original/29/F,historical matched method,ET,0.010657336493552662,0.010986504586469876,-0.00032916809291721333,-0.03291680929172133,2.996113006884748
refined,original/29/E,original/29/F,historical matched method,EV,0.0013198739890158714,0.0025971506208735166,-0.0012772766318576451,,49.1799213180809
refined,original/29/E,original/29/F,historical matched method,EI,0.008779977108918058,0.016845376811265418,-0.00806539970234736,-0.806539970234736,47.879010322604294
refined,original/29/E,original/29/F,historical matched method,bottom_current_NRMSE,0.008779977108921682,0.01684537681126619,-0.008065399702344506,-0.8065399702344507,47.87901032258517
refined,original/29/E,original/29/F,historical matched method,power_trace_NRMSE,0.008845132418566175,0.01725040462306236,-0.008405272204496184,-0.8405272204496184,48.72507276298338
refined,original/29/E,original/29/F,historical matched method,energy_error,0.0031181809841656855,0.001975330419135011,0.0011428505650306745,0.11428505650306746,-57.85617200848474
refined,original/29/E,original/29/F,historical matched method,local_joule_NRMSE,0.047710979452963986,0.09218301284505061,-0.04447203339208662,-4.447203339208662,48.24319798143196
refined,original/29/E,original/B_E,historical available-data baseline,S,0.001026328125,0.0014003125,-0.0003739843750000002,,26.707208212452592
refined,original/29/E,original/B_E,historical available-data baseline,Ephi,0.020042740206674476,0.023631555075184097,-0.003588814868509621,,15.186537056455913
refined,original/29/E,original/B_E,historical available-data baseline,ET,0.010657336493552662,0.01342231856258858,-0.0027649820690359185,-0.27649820690359184,20.59988411199409
refined,original/29/E,original/B_E,historical available-data baseline,EV,0.0013198739890158714,0.0024878868372018702,-0.0011680128481859988,,46.94798938281552
refined,original/29/E,original/B_E,historical available-data baseline,EI,0.008779977108918058,0.016784115904325957,-0.008004138795407898,-0.8004138795407898,47.68877217622706
refined,original/29/E,original/B_E,historical available-data baseline,bottom_current_NRMSE,0.008779977108921682,0.016784115904323122,-0.00800413879540144,-0.800413879540144,47.688772176196636
refined,original/29/E,original/B_E,historical available-data baseline,power_trace_NRMSE,0.008845132418566175,0.017056146529135074,-0.008211014110568899,-0.8211014110568898,48.141085658140646
refined,original/29/E,original/B_E,historical available-data baseline,energy_error,0.0031181809841656855,0.011488281044020427,-0.008370100059854741,-0.8370100059854741,72.85772369062404
refined,original/29/E,original/B_E,historical available-data baseline,local_joule_NRMSE,0.047710979452963986,0.09640622759371782,-0.048695248140753836,-4.869524814075383,50.51047982705942
refined,original/43/E,original/43/F,historical matched method,S,0.001128359375,0.0012490625000000002,-0.00012070312500000015,,9.663497623217424
